,belongs_to_collection,revenue
190,Showgirls Collection,20350754
191,Brooklyn Cigar Store Collection,8349430
192,{},50892160
193,Species Collection,113374103
194,{},0
195,{},7959291
196,{},0
197,{},5780000
198,{},7025496
199,{},339889
200,{},47774193
201,Under Siege Collection,104324083
202,{},0
203,{},0
204,{},50012507
205,{},264218220
206,{},0
207,{},0
208,{},0
209,{},0
210,Burnt by the Sun Trilogy,2616503
211,{},763847
212,Before... Collection,5535405
213,{},26488734
214,{},0
215,{},23450000
216,{},0
217,{},0
218,{},0
219,Clerks Collection,3151130
220,{},22200000
221,{},214015089
222,{},0
223,{},0
224,{},0
225,{},0
226,{},0
227,Dumb and Dumber Collection,247275374
228,{},7294403
229,{},0
230,{},6841570
231,{},5887457
232,{},0
233,{},0
234,{},0
235,A Goofy Movie Collection,35348597
236,{},12201255
237,{},0
238,{},0
239,{},3992809
240,{},0
241,{},0
242,{},7830611
243,{},3049135
244,{},26325256
245,{},0
246,{},17689177
247,{},0
248,{},0
249,The Vampire Chronicles,223664608
250,{},2474000
251,{},0
252,{},37000000
253,{},0
254,{},0
255,{},0
256,Star Wars Collection,775398007
257,{},0
258,{},0
259,{},0
260,{},0
261,{},21665468
262,{},160638883
263,{},0
264,{},0
265,{},0
266,{},0
267,{},7603766
268,{},0
269,{},112006296
270,{},0
271,{},0
272,{},18137661
273,{},46264384
274,{},5
275,{},0
276,{},17381942
277,{},0
278,{},106683817
279,{},0
280,{},0
281,{},0
282,Nemesis Collection,0
283,{},0
284,{},50282766
285,{},0
286,Once were Warriors Collection,2201126
287,Poison Ivy Collection,0
288,{},189859560
289,{},45284974
290,{},2832826
291,{},0
292,{},213928762
293,{},6834525
294,{},152322
295,{},4176932
296,{},0
297,{},0
298,{},0
299,{},18552460
300,{},12400000
301,{},11300653
302,Three Colors Collection,0
303,Three Colors Collection,0
304,Three Colors Collection,0
305,{},0
306,{},0
307,{},0
308,{},0
309,Swan Princess Series,9771658
310,{},0
311,{},170362582
312,{},196567262
313,The Santa Clause Collection,189833357
314,{},28341469
315,{},0
316,{},102780
317,{},0
318,{},0
319,{},0
320,{},0
321,{},0
322,{},4064495
323,Tales from the Crypt Collection,0
324,Star Trek: The Next Generation Collection,120000000
325,{},12000000
326,{},0
327,{},0
328,{},32648673
329,{},0
330,{},0
331,{},0
332,{},10032765
333,{},24048000
334,{},182057016
335,{},0
336,{},759393
337,{},15119639
338,{},0
339,Ace Ventura Collection,107217396
340,{},11220670
341,{},0
342,{},1862805
343,{},0
344,The Jack Ryan Collection,215887717
345,{},117615211
346,{},0
347,{},0
348,The Crow Collection,94000000
349,{},1007583
350,The Flintstones (Live-Action) Collection,341631208
351,{},677945399
352,{},254700832
353,{},38290723
354,{},1777020
355,{},61947267
356,{},0
357,{},0
358,{},449707
359,The Lion King Collection,788241776
360,{},4858139
361,A Nightmare on Elm Street Collection,18090181
362,The Mask Collection,351583407
363,{},0
364,{},0
365,Naked Gun Collection,51132598
366,{},0
367,{},20079850
368,{},2000000
369,Richie Rich Collection,0
370,{},0
371,{},0
372,Speed Collection,350448145
373,{},0
374,Timecop Collection,101646581
375,{},378882411
376,{},50021959
377,{},0
378,{},25052000
379,{},0
380,{},953
381,{},0
382,{},29392418
383,{},0
384,{},0
385,{},0
386,{},20851521
387,{},0
388,Street Fighter,99423521
389,{},0
390,{},0
391,{},0
392,Fear Collection,0
393,{},0
394,{},0
395,{},0
396,{},0
397,{},0
398,{},0
399,{},0
400,Highlander Collection,36800000
401,{},0
402,{},8946600
403,{},0
404,{},0
405,Addams Family Collection,48919043
406,{},0
407,{},32255440
408,{},0
409,{},21011500
410,Stakeout Collection,0
411,{},15240435
412,{},0
413,{},0
414,{},0
415,Beverly Hills Cop Collection,119208989
416,{},0
417,{},16668552
418,{},30156002
419,{},0
420,{},0
421,{},428868
422,{},1796389
423,{},17287898
424,{},3662459
425,{},2570145
426,{},36516012
427,City Slickers Collection,0
428,{},7355425
429,{},255000211
430,{},0
431,{},19726050
432,{},0
433,{},0
434,{},0
435,{},63000000
436,{},7993039
437,{},159055768
438,The Endless Summer Collection,0
439,{},0
440,{},0
441,{},0
442,{},0
443,{},0
444,{},0
445,{},0
446,{},9488998
447,{},0
448,{},11146270
449,{},270248367
450,Free Willy Collection,153698625
451,{},0
452,The Fugitive / U.S. Marshals Collection,368875760
453,{},18635620
454,{},30
455,{},0
456,{},0
457,{},0
458,{},22886222
459,Hard Target Collection,74189677
460,{},0
461,Hot Shots! Collection,133752825
462,{},0
463,{},0
464,{},0
465,House Party Collection,0
466,{},0
467,{},0
468,{},28881266
469,{},176997168
470,{},65796862
471,{},8880705
472,{},0
473,{},0
474,{},12136938
475,Jurassic Park Collection,920100000
476,{},2395231
477,{},418961
478,{},0
479,{},0
480,{},137298489
481,{},0
482,{},0
483,{},1499795
484,{},0
485,{},46405336
486,{},24760338
487,{},11285588
488,{},27900000
489,{},121969216
490,{},0
491,{},0
492,{},0
493,{},0
494,{},0
495,{},441286195
496,{},0
497,The Karate Kid Collection,15826984
498,{},0
499,{},15340000
500,{},0
501,{},0
502,{},135130999
503,{},206678440
504,{},116700000
505,{},27515786
506,{},23042200
507,{},8638072
508,{},0
509,{},11439193
510,{},23237911
511,{},24332324
512,{},107198790
513,{},0
514,RoboCop Collection,10696210
515,{},35739755
516,{},3275585
517,{},0
518,{},1001437
519,{},22750363
520,{},0
521,{},0
522,{},321365567
523,{},0
524,{},7266383
525,{},0
526,The Secret Garden Collection,0
527,{},7820688
528,The Shadow Collection,48063435
529,{},0
530,{},6110979
531,{},0
532,{},7770731
533,{},0
534,{},227799884
535,{},116300000
536,Blade Runner Collection,33139618
537,{},36448200
538,{},11585483
539,{},0
540,{},0
541,{},20915465
542,{},7690013
543,{},16478900
544,{},0
545,{},0
546,{},75634409
547,{},53898845
548,{},56505065
549,{},0
550,{},12281551
551,{},0
552,{},13670688
553,{},0
554,{},0
555,{},0
556,{},0
557,{},0
558,{},1596687
559,{},0
560,{},0
561,{},0
562,{},0
563,{},0
564,{},0
565,{},0
566,{},0
567,{},0
568,{},0
569,{},67308282
570,{},0
571,{},0
572,{},0
573,{},3021629
574,{},0
575,{},0
576,{},0
577,{},0
578,The Brady Bunch Collection,0
579,Home Alone Collection,476684675
580,{},505000000
581,Aladdin Collection,504050219
582,The Terminator Collection,520000000
583,{},424208848
584,{},0
585,Batman Collection,411348924
586,The Hannibal Lecter Anthology,272742922
587,{},184925486
588,Beauty and the Beast Collection,377350553
589,{},84300000
590,{},463000000
591,{},0
592,{},638641
593,{},0
594,{},0
595,{},0
596,{},0
597,{},97529550
598,Candyman Collection,13940383
599,{},0
600,{},60611975
601,Homeward Bound Collection,32709423
602,Heavy Metal Collection,0
603,Hellraiser Collection,16675000
604,{},0
605,{},0
606,{},0
607,{},0
608,{},55675257
609,{},0
610,{},0
611,{},0
612,{},0
613,{},0
614,{},0
615,{},0
616,{},0
617,{},0
618,{},442965
619,{},102616183
620,{},0
621,{},0
622,All Dogs Go to Heaven Collection,8620678
623,{},0
624,{},0
625,{},0
626,{},0
627,{},0
628,{},0
629,{},218626
630,{},4939939
631,{},0
632,{},0
633,{},0
634,{},0
635,{},65335
636,{},0
637,{},100860818
638,Mission: Impossible Collection,457696359
639,{},0
640,{},0
641,{},0
642,{},0
643,DragonHeart Collection,115267375
644,{},0
645,{},0
646,{},0
647,{},0
648,{},0
649,{},0
650,{},0
651,{},28921264
652,{},0
653,{},0
654,{},9789900
655,{},0
656,{},0
657,Bloodsport Collection,684351
658,The Apu Collection,536364
659,The Apu Collection,16000
660,{},0
661,{},0
662,{},250200000
663,{},2500000
664,{},0
665,{},0
666,{},0
667,{},0
668,Lemmy Caution Collection,0
669,{},0
670,{},0
671,{},0
672,{},0
673,{},0
674,{},0
675,{},0
676,{},0
677,{},0
678,{},0
679,{},0
680,{},10070000
681,{},0
682,{},0
683,The Substitute Collection,0
684,{},0
685,{},0
686,{},0
687,{},62949
688,{},0
689,{},0
690,{},0
691,{},0
692,{},0
693,{},57400547
694,{},0
695,{},0
696,{},0
697,{},0
698,{},74151346
699,{},0
700,{},20080020
701,{},0
702,{},0
703,{},0
704,{},15000000
705,{},0
706,{},0
707,The Visitors Collection,0
708,{},0
709,{},0
710,{},0
711,{},24769466
712,{},0
713,{},5
714,{},0
715,{},0
716,{},0
717,{},3014000
718,{},335062621
719,{},0
720,{},0
721,{},494471524
722,{},3793614
723,{},0
724,{},0
725,Ghost in the Shell Collection,2287714
726,{},0
727,{},0
728,{},0
729,Wallace & Gromit Collection,0
730,{},0
731,{},0
732,The Arrival Collection,14048372
733,{},0
734,{},9440272
735,{},0
736,{},0
737,{},0
738,{},0
739,{},0
740,{},0
741,{},0
742,{},0
743,{},0
744,{},17300889
745,{},113309743
746,{},0
747,{},0
748,{},58620973
749,{},1814290
750,{},0
751,{},0
752,{},0
753,{},0
754,"Martin Scorsese’s World Cinema Project, Vol. 1",0
755,{},0
756,{},0
757,{},0
758,{},0
759,Trainspotting Collection,16491080
760,{},0
761,Independence Day Collection,816969268
762,{},0
763,{},18626419
764,The Hunchback of Notre Dame Collection,100138851
765,{},102825796
766,{},25023434
767,{},242295562
768,{},0
769,The Nutty Professor Collection,128769345
770,{},0
771,{},65352
772,{},0
773,{},0
774,{},0
775,{},0
776,{},0
777,{},0
778,{},159212469
779,{},29359216
780,{},13269963
781,{},0
782,{},152036382
783,{},0
784,{},9482579
785,{},152266007
786,{},665450
787,{},0
788,{},0
789,{},17193231
790,{},0
791,{},0
792,{},0
793,{},0
794,{},0
795,{},0
796,The Brady Bunch Collection,0
797,{},0
798,{},0
799,{},0
800,{},0
801,{},0
802,{},0
803,{},0
804,{},0
805,{},0
806,{},4619014
807,{},116400000
808,{},0
809,{},309492681
810,{},21302121
811,{},0
812,{},258263
813,{},60209334
814,{},33459416
815,{},22231658
816,The Crow Collection,17917287
817,{},0
818,{},0
819,Tales from the Crypt Collection,5600000
820,{},0
821,{},0
822,{},0
823,{},0
824,{},0
825,{},12643776
826,Escape From ... Collection,42277365
827,{},0
828,{},3011195
829,{},53854588
830,{},300000
831,{},0
832,{},0
833,{},0
834,{},0
835,The Godfather Collection,245066411
836,{},0
837,Police Story Collection,20483423
838,{},431326
839,{},0
840,{},0
841,{},0
842,{},0
843,{},0
844,{},7011317
845,{},0
846,{},0
847,{},0
848,{},0
849,{},0
850,{},0
851,{},0
852,{},0
853,{},0
854,Police Story Collection,0
855,{},0
856,{},0
857,{},33956608
858,{},49627779
859,{},0
860,{},0
861,{},0
862,{},0
863,{},22611954
864,{},0
865,The Land Before Time Collection,0
866,{},0
867,{},0
868,Halloween Collection,15116634
869,{},0
870,{},0
871,{},0
872,{},0
873,{},0
874,{},0
875,{},0
876,{},7200000
877,{},4500000
878,{},0
879,{},9500000
880,{},28000000
881,{},36764313
882,{},4500000
883,{},0
884,{},0
885,{},13275000
886,{},25000000
887,{},25000000
888,{},13474588
889,{},10462500
890,{},1000000
891,{},72070731
892,{},10000000
893,{},12000000
894,{},0
895,{},0
896,{},33754967
897,{},400176459
898,{},0
899,{},5000000
900,{},23217674
901,The Space Odyssey Series,68700000
902,{},0
903,{},63463
904,{},2270000
905,{},6000000
906,{},0
907,{},24464742
908,{},7000000
909,{},0
910,{},8750000
911,{},0
912,{},0
913,{},2279000
914,{},0
915,{},0
916,{},0
917,{},3981000
918,{},0
919,{},2000000
920,{},0
921,{},0
922,{},3202000
923,{},0
924,{},0
925,{},35000000
926,{},5
927,The Thin Man Collection,1423000
928,{},0
929,{},42000000
930,{},9644124
931,{},9600000
932,{},0
933,{},0
934,{},0
935,{},0
936,{},0
937,{},0
938,{},0
939,{},0
940,{},0
941,{},0
942,{},0
943,{},0
944,{},0
945,Living Dead Collection,30000000
946,{},10750000
947,{},0
948,{},17570324
949,{},105
950,{},0
951,{},0
952,{},0
953,{},25
954,{},25
955,{},25
956,{},25
957,{},0
958,{},0
959,In the Line of Duty Collection,0
960,{},3028094
961,{},0
962,{},0
963,{},0
964,{},0
965,{},0
966,{},294064
967,{},0
968,{},0
969,{},51702483
970,{},16900000
971,{},8538318
972,{},0
973,{},0
974,{},47267001
975,{},0
976,{},41590886
977,{},0
978,{},49620
979,{},0
980,{},0
981,{},17380126
982,{},0
983,The Mighty Ducks Collection,22955097
984,{},22540359
985,The Apple Dumpling Gang Collection,0
986,Davy Crockett Collection,0
987,Witch Mountain Collection,20000000
988,Herbie Collection,0
989,Herbie Collection,0
990,{},0
991,Parent Trap Collection,0
992,{},0
993,Homeward Bound Collection,0
994,The Shaggy Dog Collection,0
995,{},0
996,{},0
997,{},28200000
998,{},154864401
999,{},50236831
1000,Cinderella Collection,263591415
1001,{},0
1002,Caballeros Collection,0
1003,{},22182353
1004,{},0
1005,{},390493908
1006,{},102272727
1007,{},1600000
1008,{},0
1009,{},17900000
1010,{},572000000
1011,The Fox and the Hound Collection,29800000
1012,Freeway Collection,0
1013,{},286214286
1014,Die Hard Collection,140767956
1015,The Lawnmower Man Collection,32101000
1016,{},0
1017,{},0
1018,{},0
1019,{},13417292
1020,{},34585416
1021,{},4137645
1022,{},1985001
1023,{},0
1024,{},1500000
1025,{},89456761
1026,{},75000000
1027,{},0
1028,{},0
1029,{},0
1030,{},0
1031,{},5731103
1032,{},2154540
1033,{},405000
1034,{},0
1035,{},0
1036,{},147298761
1037,{},4505922
1038,{},165615285
1039,{},0
1040,{},0
1041,Aladdin Collection,0
1042,{},0
1043,{},0
1044,{},0
1045,{},0
1046,{},0
1047,{},0
1048,{},0
1049,{},4000000
1050,{},0
1051,{},0
1052,{},18344729
1053,{},11833696
1054,{},62493712
1055,{},20045115
1056,{},28215453
1057,{},0
1058,{},25333333
1059,{},50700000
1060,{},0
1061,{},3000000
1062,{},0
1063,Dirty Dancing Collection,213954274
1064,{},14661007
1065,{},138530565
1066,Weekend at Bernie's Collection,30218387
1067,Basic Instinct Collection,352927224
1068,{},34416893
1069,{},62548947
1070,{},10725228
1071,{},30036000
1072,{},792965326
1073,{},0
1074,{},0
1075,{},157920733
1076,{},356830601
1077,{},1910
1078,{},0
1079,{},8000000
1080,Children of the Corn Collection,0
1081,{},0
1082,{},0
1083,{},0
1084,{},0
1085,{},0
1086,{},0
1087,{},1227324
1088,{},0
1089,{},0
1090,{},0
1091,{},0
1092,{},0
1093,{},20300385
1094,{},0
1095,{},0
1096,{},19255967
1097,The Pink Panther (Original) Collection,41833347
1098,{},13878334
1099,{},90000098
1100,{},21378361
1101,Escape From ... Collection,50244700
1102,The Howling Collection,17985893
1103,The Water of the Hills Collection,0
1104,The Water of the Hills Collection,0
1105,{},0
1106,{},0
1107,{},5028948
1108,{},127251
1109,{},0
1110,{},0
1111,{},0
1112,{},0
1113,{},0
1114,{},2035470
1115,{},0
1116,{},2666118
1117,Wallace & Gromit Collection,0
1118,{},0
1119,{},0
1120,{},0
1121,{},0
1122,{},0
1123,{},0
1124,{},0
1125,{},0
1126,{},0
1127,{},0
1128,{},0
1129,{},0
1130,{},0
1131,{},0
1132,{},0
1133,{},0
1134,{},0
1135,{},1100000
1136,{},269823
1137,Best of the Best Collection,0
1138,{},0
1139,{},11990401
1140,{},0
1141,{},0
1142,{},1794187
1143,{},1999955
1144,{},13200170
1145,{},0
1146,{},13446769
1147,{},0
1148,{},0
1149,{},231976425
1150,{},4532791
1151,{},14743391
1152,{},0
1153,{},0
1154,{},33946224
1155,{},0
1156,{},0
1157,{},29
1158,{},3779620
1159,{},108981275
1160,Cheech & Chong Collection,41590893
1161,Star Wars Collection,538400000
1162,{},30857814
1163,Indiana Jones Collection,389925971
1164,{},0
1165,Alien Collection,183316455
1166,The Man With No Name Collection,6000000
1167,{},0
1168,{},1000000
1169,{},69995385
1170,{},26589000
1171,{},13129846
1172,{},89460381
1173,{},5321508
1174,Star Wars Collection,572700000
1175,{},3200000
1176,{},596349
1177,{},46836394
1178,Alien Collection,104931801
1179,Evil Dead Collection,0
1180,{},0
1181,{},4069653
1182,{},0
1183,Psycho Collection,32000000
1184,The Blues Brothers Collection,115229890
1185,The Godfather Collection,47542841
1186,{},46357676
1187,Wallace & Gromit Collection,0
1188,{},0
1189,{},51973029
1190,{},0
1191,{},0
1192,{},23000000
1193,{},38251425
1194,{},21500000
1195,{},0
1196,{},85000000
1197,The Sting Collection,159616327
1198,{},0
1199,{},0
1200,{},0
1201,{},0
1202,The Terminator Collection,78371200
1203,{},242623
1204,{},26828365
1205,{},0
1206,{},39946780
1207,{},5080409
1208,{},235860116
1209,{},104945305
1210,{},2247465
1211,{},5000000
1212,{},27200000
1213,{},0
1214,The Jake Gittes Collection,30000000
1215,{},0
1216,{},4307000
1217,{},0
1218,{},0
1219,{},10297601
1220,{},44017374
1221,{},52287414
1222,{},0
1223,Evil Dead Collection,5923044
1224,{},11744471
1225,{},50000000
1226,{},0
1227,{},70906973
1228,{},159157447
1229,{},96105910
1230,{},11541758
1231,{},0
1232,Back to the Future Collection,381109762
1233,{},119418501
1234,{},89800000
1235,{},0
1236,{},553171
1237,Highlander Collection,5900000
1238,{},16217773
1239,{},0
1240,{},86273333
1241,{},2015810
1242,{},0
1243,{},11000000
1244,Fantasia Collection,83320000
1245,{},8000000
1246,{},0
1247,{},1108462
1248,{},0
1249,{},146900000
1250,{},4736202
1251,Qatsi Collection,1723872
1252,{},18553948
1253,Indiana Jones Collection,474171806
1254,{},30177511
1255,{},77737889
1256,{},10006806
1257,{},20966644
1258,{},13000000
1259,{},22244207
1260,{},34700291
1261,{},0
1262,{},3250000
1263,{},84431625
1264,{},0
1265,{},102308889
1266,{},2181987
1267,{},0
1268,{},92823546
1269,{},0
1270,{},0
1271,{},0
1272,{},0
1273,{},0
1274,{},0
1275,{},0
1276,{},0
1277,{},0
1278,{},0
1279,{},0
1280,Alien Collection,159773545
1281,{},31973249
1282,The Amityville Horror Collection,0
1283,The Amityville Horror Collection,6333135
1284,The Amityville Horror Collection,0
1285,The Amityville Horror Collection,0
1286,The Amityville Horror Collection,12534817
1287,The Amityville Horror Collection,86432000
1288,The Amityville Horror Collection,0
1289,{},0
1290,{},0
1291,{},0
1292,{},18753438
1293,{},11403529
1294,The Blob Collection,0
1295,{},0
1296,{},0
1297,{},0
1298,{},215862692
1299,Frankenstein (Universal Series),0
1300,{},0
1301,Candyman Collection,25792310
1302,{},182300000
1303,{},0
1304,Carrie Collection,33800000
1305,{},0
1306,A Nightmare on Elm Street Collection,25504513
1307,{},0
1308,{},0
1309,The Omen Collection,60922980
1310,{},0
1311,{},0
1312,{},0
1313,Heart of Gold Collection,3803298
1314,{},1179002
1315,Star Trek: The Next Generation Collection,150000000
1316,{},0
1317,{},24444121
1318,Jingle All the Way Collection,129832389
1319,{},0
1320,Paradise Lost Collection,0
1321,{},48093211
1322,{},0
1323,{},2503829
1324,{},0
1325,101 Dalmatians (Live-Action) Collection,320689294
1326,{},0
1327,{},0
1328,Die Hard Collection,240031094
1329,Star Trek: The Original Series Collection,139000000
1330,Star Trek: The Original Series Collection,96900000
1331,Star Trek: The Original Series Collection,70200000
1332,Star Trek: The Original Series Collection,96800000
1333,Star Trek: The Original Series Collection,87000000
1334,Star Trek: The Original Series Collection,133000000
1335,Batman Collection,280000000
1336,Young Guns Collection,44726644
1337,Young Guns Collection,0
1338,Grease Collection,181813770
1339,Grease Collection,15171476
1340,{},46044400
1341,{},0
1342,{},0
1343,Under Siege Collection,156563139
1344,{},0
1345,The Jaws Collection,470654000
1346,The Jaws Collection,187884007
1347,The Jaws Collection,87987055
1348,{},0
1349,{},101371017
1350,{},153155
1351,{},273552592
1352,{},29180280
1353,{},0
1354,{},105232691
1355,{},0
1356,{},0
1357,{},12803305
1358,{},0
1359,{},0
1360,{},0
1361,{},0
1362,{},0
1363,Scream Collection,173046663
1364,{},75505856
1365,{},119718203
1366,{},0
1367,{},0
1368,{},0
1369,{},0
1370,{},0
1371,{},0
1372,{},141047179
1373,{},3692836
1374,{},0
1375,{},0
1376,{},25804707
1377,{},0
1378,{},0
1379,{},9381260
1380,{},0
1381,Turbulence Collection,11466088
1382,{},0
1383,Police Story Collection,21890845
1384,{},0
1385,{},0
1386,{},31987563
1387,{},0
1388,{},0
1389,{},322975
1390,{},178127760
1391,{},0
1392,{},0
1393,{},23202734
1394,{},589304
1395,{},0
1396,{},0
1397,McHale's Navy Collection,4529843
1398,{},5770254
1399,{},0
1400,{},0
1401,{},0
1402,{},0
1403,{},0
1404,{},656747
1405,{},0
1406,{},0
1407,{},29481428
1408,{},0
1409,{},50068310
1410,{},0
1411,National Lampoon's Vacation Collection,36400360
1412,{},0
1413,{},0
1414,{},3675201
1415,{},13130349
1416,{},41954997
1417,{},0
1418,{},20060051
1419,{},0
1420,{},532654
1421,{},0
1422,{},0
1423,{},0
1424,{},4109095
1425,{},41230799
1426,{},0
1427,The Saint Collection,118063304
1428,{},0
1429,Barrytown Trilogy,0
1430,{},0
1431,{},0
1432,{},302710615
1433,{},0
1434,{},60000000
1435,{},140807547
1436,{},3566637
1437,{},7240837
1438,{},0
1439,Power Rangers Collection,17979739
1440,{},791830
1441,{},0
1442,{},5926128
1443,Anaconda Collection,136885767
1444,{},28084357
1445,{},57252
1446,{},0
1447,{},0
1448,{},0
1449,{},0
1450,{},0
1451,{},0
1452,{},0
1453,{},0
1454,{},29235353
1455,{},0
1456,{},0
1457,{},0
1458,Austin Powers Collection,67683989
1459,{},50159144
1460,{},0
1461,{},0
1462,{},0
1463,{},0
1464,{},0
1465,Warriors of Virtue Collection,0
1466,{},0
1467,{},263920180
1468,{},0
1469,Teenage Apocalypse Trilogy,27354
1470,{},0
1471,{},7553105
1472,{},0
1473,{},2900000
1474,{},0
1475,{},479099
1476,{},0
1477,{},34673095
1478,{},0
1479,{},0
1480,Jurassic Park Collection,229074524
1481,{},0
1482,{},0
1483,Shiloh Collection,0
1484,{},0
1485,{},0
1486,{},0
1487,{},0
1488,{},224012234
1489,{},0
1490,{},0
1491,{},0
1492,Speed Collection,164508066
1493,{},10300
1494,{},0
1495,{},0
1496,{},44000
1497,Batman Collection,238207122
1498,{},0
1499,{},0
1500,{},0
1501,{},252712101
1502,{},0
1503,{},0
1504,{},299288605
1505,Tetsuo Collection,0
1506,{},0
1507,{},528428
1508,{},245676146
1509,{},0
1510,{},0
1511,{},0
1512,{},0
1513,{},0
1514,Men In Black Collection,589390539
1515,{},0
1516,{},0
1517,{},8345056
1518,{},171120329
1519,{},0
1520,{},48169156
1521,Conan the Barbarian Collection,79114085
1522,George of the Jungle Collection,0
1523,{},44862187
1524,{},26673242
1525,{},87840042
1526,Air Bud Collection,23144499
1527,{},44332015
1528,{},0
1529,Free Willy Collection,0
1530,{},0
1531,{},136982834
1532,{},0
1533,{},1686429
1534,{},0
1535,{},0
1536,{},0
1537,Mimic Collection,25480490
1538,{},0
1539,{},0
1540,{},0
1541,{},315156409
1542,{},5716080
1543,The Jack Ryan Collection,199200000
1544,{},0
1545,{},0
1546,{},0
1547,{},0
1548,{},43312294
1549,{},0
1550,{},126216940
1551,{},131457682
1552,Alex Cross Collection,60527873
1553,{},0
1554,{},0
1555,Wishmaster Collection,15719109
1556,{},0
1557,{},109423648
1558,{},16000000
1559,{},6682098
1560,{},10082
1561,{},0
1562,{},0
1563,{},0
1564,{},0
1565,{},8038061
1566,{},0
1567,{},12021272
1568,{},13960203
1569,{},257850122
1570,{},0
1571,{},0
1572,I Know What You Did Last Summer Collection,125586134
1573,{},152944660
1574,{},0
1575,{},4000000
1576,{},626057
1577,{},832735
1578,{},1
1579,{},0
1580,{},0
1581,{},12532777
1582,{},14000000
1583,{},5624282
1584,{},0
1585,{},0
1586,{},0
1587,{},0
1588,{},0
1589,{},6482195
1590,{},5790448
1591,{},85300000
1592,{},0
1593,Mr. Bean Collection,251212670
1594,{},0
1595,{},10541523
1596,{},2642983
1597,{},0
1598,{},0
1599,{},0
1600,{},45916769
1601,{},43101594
1602,{},68706993
1603,{},0
1604,Starship Troopers Collection,121214377
1605,{},0
1606,{},32861136
1607,{},0
1608,{},58000000
1609,Mortal Kombat Collection,51376861
1610,{},264118201
1611,{},0
1612,{},3309421
1613,{},0
1614,{},0
1615,{},159330280
1616,{},139804348
1617,{},13801755
1618,Alien Collection,162000000
1619,{},0
1620,{},74000000
1621,{},0
1622,{},0
1623,{},0
1624,{},0
1625,Les Boys,0
1626,{},0
1627,{},10686841
1628,{},177977226
1629,{},31611225
1630,{},225933435
1631,{},0
1632,{},0
1633,Home Alone Collection,79082515
1634,{},0
1635,{},0
1636,{},25105255
1637,{},122417389
1638,{},0
1639,{},0
1640,{},0
1641,Scream Collection,172363301
1642,{},0
1643,{},3263585
1644,{},0
1645,{},1845034188
