,crew,title,release_date,return,budget,revenue
61,Stephen Herek,Mr. Holland's Opus,1995-12-29,inf,0,106269971
62,Paris Barclay,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0,0
63,Bill Bennett,Two If by Sea,1996-01-12,0.0,0,0
64,Jason Bloom,Bio-Dome,1996-01-12,0.0,15000000,0
65,Farhad Mann,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,inf,0,2409225
66,James Foley,Two Bits,1995-10-22,0.0,0,0
67,Josiane Balasko,French Twist,1995-02-08,0.0,0,0
68,F. Gary Gray,Friday,1995-04-26,8.061690857142857,3500000,28215918
69,Robert Rodriguez,From Dusk Till Dawn,1996-01-19,1.359821894736842,19000000,25836616
70,Andrew Sipes,Fair Game,1995-11-03,0.23068954,50000000,11534477
71,Noah Baumbach,Kicking and Screaming,1995-10-06,inf,0,718490
72,Claude Lelouch,Les Miserables,1995-03-22,0.0,0,0
73,Michael Goldenberg,Bed of Roses,1996-01-26,inf,0,19030691
74,Steve Miner,Big Bully,1996-01-26,0.1361686666666666,15000000,2042530
75,Christian Duguay,Screamers,1995-09-08,0.28909425,20000000,5781885
76,Susanne Ofteringer,Nico Icon,1995-02-18,0.0,0,0
77,Sean Penn,The Crossing Guard,1995-11-15,0.0,0,0
78,Brian Gibson,The Juror,1996-02-02,0.0,44000000,0
79,Jafar Panahi,The White Balloon,1995-01-01,0.0,0,0
80,Gary Fleder,Things to Do in Denver When You're Dead,1995-12-01,0.06622075,8000000,529766
81,Marleen Gorris,Antonia's Line,1995-09-12,0.0,900000,0
82,Tim Reid,Once Upon a Time... When We Were Colored,1996-01-26,0.0,0,0
83,Henry Jaglom,Last Summer in the Hamptons,1995-11-22,0.0,0,0
84,Philip Haas,Angels and Insects,1995-09-10,0.0,0,0
85,Ridley Scott,White Squall,1996-02-02,0.2710526315789474,38000000,10300000
86,Ken Kwapis,Dunston Checks In,1996-01-12,0.0,16000000,0
87,Penelope Spheeris,Black Sheep,1996-02-01,inf,0,32
88,John Badham,Nick of Time,1995-11-22,1.000732370443081,8169363,8175346
89,John Duigan,The Journey of August King,1995-09-14,0.0,0,0
90,Stephen Frears,Mary Reilly,1996-02-23,0.2633915319148936,47000000,12379402
91,Wes Craven,Vampire in Brooklyn,1995-10-26,1.4142857142857144,14000000,19800000
92,Ted Demme,Beautiful Girls,1996-02-09,0.0,0,0
93,John Woo,Broken Arrow,1996-02-09,3.00540294,50000000,150270147
94,Kenneth Branagh,A Midwinter's Tale,1995-12-01,0.0,0,0
95,Mathieu Kassovitz,La Haine,1995-05-31,0.0,3000000,0
96,Paul W.S. Anderson,Shopping,1994-12-06,0.0,0,0
97,Nick Broomfield,Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,0,0
98,Harold Becker,City Hall,1996-02-16,0.0,0,0
99,Wes Anderson,Bottle Rocket,1996-02-21,0.0800098571428571,7000000,560069
100,Nick Castle,Mr. Wrong,1996-02-16,0.0,0,0
101,John Dahl,Unforgettable,1996-02-23,0.0,18000000,0
102,Dennis Dugan,Happy Gilmore,1996-02-16,3.43375825,12000000,41205099
103,Clint Eastwood,The Bridges of Madison County,1995-05-28,7.584025708333333,24000000,182016617
104,Doris Dörrie,Nobody Loves Me,1994-11-07,0.0,0,0
105,Brian Henson,Muppet Treasure Island,1996-02-16,inf,0,34327391
106,Robert Leacock,Catwalk,1995-12-08,0.0,0,0
107,James Bruce,Headless Body in Topless Bar,1995-05-20,0.0,0,0
108,Mel Gibson,Braveheart,1995-05-24,2.9166666666666665,72000000,210000000
109,Martin Scorsese,Taxi Driver,1976-02-07,21.74044153846154,1300000,28262574
110,Stanley Tong,Rumble in the Bronx,1995-01-30,4.3189396,7500000,32392047
111,Barbet Schroeder,Before and After,1996-02-23,0.0,35000000,0
112,Mort Ransen,Margaret's Museum,1995-09-13,0.0,0,0
113,Étienne Chatiliez,Happiness Is in the Field,1995-01-31,0.0,13365000,0
114,Jon Blair,Anne Frank Remembered,1995-06-08,inf,0,1
115,Benjamin Ross,The Young Poisoner's Handbook,1995-01-20,0.0,0,0
116,Eric Schaeffer,If Lucy Fell,1996-03-08,0.0,0,0
117,Andrew Davis,Steal Big Steal Little,1995-09-29,0.25112556,25000000,6278139
118,Charles T. Kanganis,Race the Sun,1996-03-22,0.0,0,0
119,John N. Smith,The Boys of St. Vincent,1992-12-06,0.0,0,0
120,Reginald Hudlin,Boomerang,1992-06-30,1.7525,40000000,70100000
121,Wong Kar-wai,Chungking Express,1994-07-14,0.0,0,0
122,Giuseppe Tornatore,The Star Maker,1995-09-21,0.0,0,0
123,David O. Russell,Flirting with Disaster,1996-03-22,2.100348285714286,7000000,14702438
124,Peter MacDonald,The Neverending Story III: Escape from Fantasia,1994-10-26,0.0,17000000,0
125,Moufida Tlatli,The Silences of the Palace,1994-09-30,0.0,0,0
126,Michel Negroponte,Jupiter's Wife,1995-01-01,0.0,0,0
127,Bryan Gordon,Pie in the Sky,1996-02-09,0.0,0,0
128,Rebecca Miller,Angela,1995-01-01,0.0,0,0
129,Michael Lindsay-Hogg,Frankie Starlight,1995-11-22,0.0,0,0
130,William Friedkin,Jade,1995-10-13,0.1970322,50000000,9851610
131,Ángel Muñiz,Nueba Yol,1995-08-16,0.0,0,0
132,Craig Baldwin,Sonic Outlaws,1995-08-01,0.0,0,0
133,David S. Ward,Down Periscope,1996-03-01,0.0,0,0
134,Mark Rappaport,From the Journals of Jean Seberg,1995-09-08,0.0,0,0
135,Dirk Shafer,Man of the Year,1995-09-15,inf,0,209935
136,Terence Davies,The Neon Bible,1995-08-23,0.0,0,0
137,Sandip Ray,Target,1995-08-01,0.0,0,0
138,Jon Avnet,Up Close & Personal,1996-03-01,0.0,60000000,0
139,Mike Nichols,The Birdcage,1996-03-08,5.976146870967742,31000000,185260553
140,Jakov Sedlar,Virgin Mary,1995-10-12,0.0,0,0
141,Edward Burns,The Brothers McMullen,1995-08-09,0.0,0,0
142,Michael Bay,Bad Boys,1995-04-07,7.442474947368421,19000000,141407024
143,Christopher Cain,The Amazing Panda Adventure,1995-08-25,0.0,0,0
144,Scott Kalvert,The Basketball Diaries,1995-04-21,0.0,0,0
145,Mike Newell,An Awfully Big Adventure,1995-07-21,0.21288625,4000000,851545
146,Hal Hartley,Amateur,1994-08-05,0.0,0,0
147,Ron Howard,Apollo 13,1995-06-30,6.831498711538462,52000000,355237933
148,Michael Caton-Jones,Rob Roy,1995-04-13,1.1284611071428572,28000000,31596911
149,Abel Ferrara,The Addiction,1995-01-10,0.0,0,0
150,Joel Schumacher,Batman Forever,1995-06-16,3.36529144,100000000,336529144
151,Luis Buñuel,Belle de Jour,1967-05-24,0.0,0,0
152,John Boorman,Beyond Rangoon,1995-05-24,0.0,0,0
153,Paul Auster,Blue in the Face,1995-09-15,0.6375,2000000,1275000
154,Michael Moore,Canadian Bacon,1995-06-08,0.0161912727272727,11000000,178104
155,Brad Silberling,Casper,1995-05-26,5.75856388,50000000,287928194
156,Spike Lee,Clockers,1995-09-15,0.52286072,25000000,13071518
157,Frank Marshall,Congo,1995-06-09,3.04044202,50000000,152022101
158,Tony Scott,Crimson Tide,1995-05-12,2.969569716981132,53000000,157387195
159,Terry Zwigoff,Crumb,1994-09-10,inf,0,3174695
160,Robert Rodriguez,Desperado,1995-08-25,3.6293492857142855,7000000,25405445
161,Carl Franklin,Devil in a Blue Dress,1995-09-15,0.5978082222222222,27000000,16140822
162,John McTiernan,Die Hard: With a Vengeance,1995-05-19,4.067796288888889,90000000,366101666
163,Gregg Araki,The Doom Generation,1995-10-27,0.0,0,0
164,Christopher Menaul,Feast of July,1995-10-12,0.0,0,0
165,Jerry Zucker,First Knight,1995-07-07,2.320007909090909,55000000,127600435
166,Dwight H. Little,Free Willy 2 - The Adventure Home,1995-07-19,0.0,0,0
167,Iain Softley,Hackers,1995-09-14,0.3781864,20000000,7563728
168,Christopher Ashley,Jeffrey,1995-08-18,0.0,0,0
169,Robert Longo,Johnny Mnemonic,1995-05-26,0.7630288,25000000,19075720
170,Danny Cannon,Judge Dredd,1995-06-30,1.2610386777777778,90000000,113493481
171,John Fortenberry,Jury Duty,1995-04-12,inf,0,17014653
172,Larry Clark,Kids,1995-07-28,4.941477333333333,1500000,7412216
173,Tom DiCillo,Living in Oblivion,1995-01-20,2.297504,500000,1148752
174,Clive Barker,Lord of Illusions,1995-08-25,0.0,0,0
175,Denys Arcand,Love & Human Remains,1993-05-20,0.0,0,0
176,Antonia Bird,Mad Love,1995-05-26,inf,0,15453274
177,Kevin Smith,Mallrats,1995-10-20,0.3537601666666666,6000000,2122561
178,Bryan Spicer,Mighty Morphin Power Rangers: The Movie,1995-06-30,4.4,15000000,66000000
179,David Anspaugh,Moonlight and Valentino,1995-09-29,0.0,0,0
180,Anthony Waller,Mute Witness,1995-09-28,0.5,2,1
181,Michael Almereyda,Nadja,1994-09-13,0.0,0,0
182,Irwin Winkler,The Net,1995-07-28,5.028543863636363,22000000,110627965
183,Chris Columbus,Nine Months,1995-07-12,inf,0,69660733
184,Daisy von Scherler Mayer,Party Girl,1995-06-09,3.1491333333333333,150000,472370
185,Gregory Widen,The Prophecy,1995-09-01,2.0,8,16
186,Norman René,Reckless,1995-11-17,0.0,0,0
187,Todd Haynes,Safe,1995-06-23,0.0,0,0
188,Roland Joffé,The Scarlet Letter,1995-10-13,0.20764814,50000000,10382407
189,,The Show,1995-08-25,0.0,0,0
190,Paul Verhoeven,Showgirls,1995-09-22,0.4522389777777778,45000000,20350754
191,Wayne Wang,Smoke,1995-06-09,1.1927757142857145,7000000,8349430
192,Lasse Hallström,Something to Talk About,1995-08-04,inf,0,50892160
193,Roger Donaldson,Species,1995-07-07,3.2392600857142857,35000000,113374103
194,James Keach,The Stars Fell on Henrietta,1995-09-15,0.0,0,0
195,Kathryn Bigelow,Strange Days,1995-10-13,0.1895069285714285,42000000,7959291
196,Jacques Demy,The Umbrellas of Cherbourg,1964-02-19,0.0,0,0
197,Wesley Strick,The Tie That Binds,1995-09-08,0.4128571428571428,14000000,5780000
198,Martha Coolidge,Three Wishes,1995-10-27,inf,0,7025496
199,Agnieszka Holland,Total Eclipse,1995-11-02,inf,0,339889
200,Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,inf,0,47774193
201,Geoff Murphy,Under Siege 2: Dark Territory,1995-07-13,1.738734716666667,60000000,104324083
202,Diane Keaton,Unstrung Heroes,1995-09-15,0.0,0,0
203,Douglas Keeve,Unzipped,1995-08-11,0.0,0,0
204,Alfonso Aráu,A Walk in the Clouds,1995-08-11,2.50062535,20000000,50012507
205,Kevin Reynolds,Waterworld,1995-07-28,1.5098184,175000000,264218220
206,Desmond Nakano,White Man's Burden,1995-12-01,0.0,8000000,0
207,Walter Hill,Wild Bill,1995-12-01,0.0,30000000,0
208,Mike Figgis,The Browning Version,1994-10-12,0.0,0,0
209,Greg Beeman,Bushwhacked,1995-08-04,0.0,0,0
210,Nikita Mikhalkov,Burnt by the Sun,1994-05-01,0.9344653571428572,2800000,2616503
211,Milčo Mančevski,Before the Rain,1994-06-09,inf,0,763847
212,Richard Linklater,Before Sunrise,1995-01-27,2.214162,2500000,5535405
213,Tamra Davis,Billy Madison,1995-02-10,2.6488734,10000000,26488734
214,Guy Ferland,The Babysitter,1995-10-17,0.0,0,0
215,Herbert Ross,Boys on the Side,1995-02-03,1.1166666666666667,21000000,23450000
216,Peter Horton,The Cure,1995-04-21,0.0,0,0
217,Stuart Gordon,Castle Freak,1995-08-04,0.0,0,0
218,Pat O'Connor,Circle of Friends,1995-03-16,0.0,0,0
219,Kevin Smith,Clerks,1994-09-13,116.70851851851852,27000,3151130
220,Jeremy Leven,Don Juan DeMarco,1994-10-01,0.888,25000000,22200000
221,Barry Levinson,Disclosure,1994-12-09,3.891183436363636,55000000,214015089
222,René Bonnière,Dream Man,1995-01-01,0.0,0,0
223,John Badham,Drop Zone,1994-12-08,0.0,45000000,0
224,Jack Baran,Destiny Turns on the Radio,1995-04-28,0.0,0,0
225,Roman Polanski,Death and the Maiden,1994-05-04,0.0,0,0
226,Taylor Hackford,Dolores Claiborne,1995-03-24,0.0,0,0
227,Peter Farrelly,Dumb and Dumber,1994-12-16,15.454710875,16000000,247275374
228,Ang Lee,Eat Drink Man Woman,1994-08-03,inf,0,7294403
229,Atom Egoyan,Exotica,1994-09-24,0.0,0,0
230,Garry Marshall,Exit to Eden,1994-10-14,inf,0,6841570
231,Tim Burton,Ed Wood,1994-09-27,0.3270809444444444,18000000,5887457
232,Lawrence Kasdan,French Kiss,1995-05-05,0.0,0,0
233,Billy Crystal,Forget Paris,1995-05-19,0.0,0,0
234,Phillip Borsos,Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,0,0
235,Kevin Lima,A Goofy Movie,1995-04-07,inf,0,35348597
236,Brett Leonard,Hideaway,1995-03-03,0.813417,15000000,12201255
237,Carlo Carlei,Fluke,1995-06-02,0.0,0,0
238,Gérard Corbiau,Farinelli,1994-12-07,0.0,0,0
239,Mark Lewis,Gordy,1995-05-12,inf,0,3992809
240,Art Clokey,Gumby: The Movie,1995-12-01,0.0,0,0
241,Charles Burnett,The Glass Shield,1994-09-16,0.0,0,0
242,Steve James,Hoop Dreams,1994-09-12,11.186587142857142,700000,7830611
243,Peter Jackson,Heavenly Creatures,1994-09-02,0.609827,5000000,3049135
244,Randall Miller,Houseguest,1995-01-06,2.507167238095238,10500000,26325256
245,Bernard Rose,Immortal Beloved,1994-12-16,0.0,120,0
246,Steven Brill,Heavyweights,1995-02-17,inf,0,17689177
247,J. F. Lawton,The Hunted,1995-02-24,0.0,0,0
248,Fred Schepisi,I.Q.,1994-12-24,0.0,25000000,0
249,Neil Jordan,Interview with the Vampire,1994-11-11,3.7277434666666656,60000000,223664608
250,James Ivory,Jefferson in Paris,1995-03-31,0.1767142857142857,14000000,2474000
251,James Melkonian,The Jerky Boys,1995-02-03,0.0,0,0
252,Ivan Reitman,Junior,1994-11-22,0.6166666666666667,60000000,37000000
253,Arne Glimcher,Just Cause,1995-02-17,0.0,0,0
254,Michael Gottlieb,A Kid in King Arthur's Court,1995-08-11,0.0,0,0
255,Barbet Schroeder,Kiss of Death,1995-04-21,0.0,40000000,0
256,George Lucas,Star Wars,1977-05-25,70.49072790909091,11000000,775398007
257,Gillian Armstrong,Little Women,1994-12-21,0.0,18000000,0
258,Alfonso Cuarón,A Little Princess,1995-05-10,0.0,17000000,0
259,Ken Loach,Ladybird Ladybird,1994-02-18,0.0,0,0
260,Claude Chabrol,L'Enfer,1994-02-16,0.0,10000000,0
261,Alfonso Aráu,Like Water for Chocolate,1992-04-16,10.832734,2000000,21665468
262,Edward Zwick,Legends of the Fall,1994-12-16,5.354629433333334,30000000,160638883
263,Nick Castle,Major Payne,1995-03-24,0.0,0,0
264,James Gray,Little Odessa,1994-10-27,0.0,0,0
265,Allison Anders,Mi Vida Loca,1994-06-08,0.0,0,0
266,Glenn Gordon Caron,Love Affair,1994-10-21,0.0,60000000,0
267,Stephen Gyllenhaal,Losing Isaiah,1995-03-17,0.4472803529411764,17000000,7603766
268,Nicholas Hytner,The Madness of King George,1994-12-28,0.0,0,0
269,Kenneth Branagh,Mary Shelley's Frankenstein,1994-11-04,2.4890288,45000000,112006296
270,James Orr,Man of the House,1995-03-03,0.0,0,0
271,Nora Ephron,Mixed Nuts,1994-12-21,0.0,15000000,0
272,Richard Benjamin,Milk Money,1994-08-31,inf,0,18137661
273,Les Mayfield,Miracle on 34th Street,1994-11-18,inf,0,46264384
274,David Frankel,Miami Rhapsody,1995-01-27,0.8333333333333334,6,5
275,Gregory Nava,My Family,1995-05-03,0.0,5500000,0
276,Marc Rocco,Murder in the First,1995-01-20,inf,0,17381942
277,Robert Benton,Nobody's Fool,1994-12-23,0.0,0,0
278,Michael Apted,Nell,1994-12-23,3.441413451612904,31000000,106683817
279,Nick Gomez,New Jersey Drive,1995-04-19,0.0,0,0
280,Tōru Murakawa,New York Cop,1993-08-14,0.0,0,0
281,Vadim Jean,Beyond Bedlam,1994-04-22,0.0,4800000,0
282,Albert Pyun,Nemesis 2 - Nebula,1995-09-26,0.0,0,0
283,Alan Jacobs,Nina Takes a Lover,1995-03-03,0.0,0,0
284,Oliver Stone,Natural Born Killers,1994-08-25,1.4789048823529412,34000000,50282766
285,Norman Jewison,Only You,1994-09-17,0.0,0,0
286,Lee Tamahori,Once Were Warriors,1994-09-02,inf,0,2201126
287,Anne Goursaud,Poison Ivy II: Lily,1996-01-16,0.0,0,0
288,Wolfgang Petersen,Outbreak,1995-03-10,3.7971912,50000000,189859560
289,Luc Besson,Leon: The Professional,1994-09-14,2.830310875,16000000,45284974
290,Mira Nair,The Perez Family,1995-05-12,0.2575296363636363,11000000,2832826
291,Joshua Brand,A Pyromaniac's Love Story,1995-04-28,0.0,0,0
292,Quentin Tarantino,Pulp Fiction,1994-09-10,26.74109525,8000000,213928762
293,Mario Van Peebles,Panther,1995-11-10,inf,0,6834525
294,Ang Lee,Pushing Hands,1992-02-01,0.380805,400000,152322
295,Antonia Bird,Priest,1994-01-01,inf,0,4176932
296,Robert Redford,Quiz Show,1994-09-16,0.0,0,0
297,Kayo Hatta,Picture Bride,1995-05-05,0.0,0,0
298,Patrice Chéreau,Queen Margot,1994-05-13,0.0,0,0
299,Sam Raimi,The Quick and the Dead,1995-02-09,0.579764375,32000000,18552460
300,Peter Yates,Roommates,1995-03-01,0.5636363636363636,22000000,12400000
301,Robert Altman,Prêt-à-Porter,1994-12-23,0.7533768666666667,15000000,11300653
302,Krzysztof Kieślowski,Three Colors: Red,1994-05-27,0.0,0,0
303,Krzysztof Kieślowski,Three Colors: Blue,1993-01-10,0.0,0,0
304,Krzysztof Kieślowski,Three Colors: White,1994-01-26,0.0,0,0
305,He Ping,"Red Firecracker, Green Firecracker",1994-10-14,0.0,0,0
306,Fred Gerber,Rent-a-Kid,1995-01-01,0.0,0,0
307,George Mihalka,Relative Fear,1995-10-03,0.0,0,0
308,Harold Ramis,Stuart Saves His Family,1995-04-12,0.0,0,0
309,Richard Rich,The Swan Princess,1994-11-18,0.2791902285714285,35000000,9771658
310,John Sayles,The Secret of Roan Inish,1994-01-01,0.0,0,0
311,Luis Llosa,The Specialist,1994-10-07,3.785835155555556,45000000,170362582
312,Roland Emmerich,Stargate,1994-10-27,3.5739502181818184,55000000,196567262
313,John Pasquin,The Santa Clause,1994-11-10,8.628788954545454,22000000,189833357
314,Frank Darabont,The Shawshank Redemption,1994-09-23,1.13365876,25000000,28341469
315,Danny Boyle,Shallow Grave,1994-12-22,0.0,0,0
316,Scott McGehee,Suture,1993-09-14,inf,0,102780
317,Tomás Gutiérrez Alea,Strawberry and Chocolate,1993-01-01,0.0,0,0
318,George Huang,Swimming with Sharks,1994-09-10,0.0,0,0
319,Kevin Dowling,The Sum of Us,1994-07-12,0.0,32,0
320,Kelly Makin,Senior Trip,1995-09-08,0.0,0,0
321,Zhang Yimou,To Live,1994-06-30,0.0,0,0
322,Rachel Talalay,Tank Girl,1995-03-31,0.1625798,25000000,4064495
323,Ernest R. Dickerson,Tales from the Crypt: Demon Knight,1995-01-13,0.0,0,0
324,David Carson,Star Trek: Generations,1994-11-17,3.1578947368421053,38000000,120000000
325,Rusty Cundieff,Tales from the Hood,1995-05-24,2.0,6000000,12000000
326,Brian Gilbert,Tom & Viv,1994-04-15,0.0,0,0
327,John Carpenter,Village of the Damned,1995-04-28,0.0,0,0
328,Peter Segal,Tommy Boy,1995-03-31,inf,0,32648673
329,Louis Malle,Vanya on 42nd Street,1994-09-13,0.0,0,0
330,Steven Soderbergh,The Underneath,1995-04-28,0.0,6500000,0
331,Preston A. Whitmore II,The Walking Dead,1995-02-24,0.0,0,0
332,Lasse Hallström,What's Eating Gilbert Grape,1993-12-17,0.9120695454545454,11000000,10032765
333,Brett Leonard,Virtuosity,1995-08-04,0.8016,30000000,24048000
334,Jon Turteltaub,While You Were Sleeping,1995-04-21,10.709236235294116,17000000,182057016
335,Jon Avnet,The War,1994-11-04,0.0,0,0
336,Mina Shum,Double Happiness,1994-09-07,inf,0,759393
337,P.J. Hogan,Muriel's Wedding,1994-09-29,5.039879666666667,3000000,15119639
338,Melanie Mayron,The Baby-Sitters Club,1995-08-18,0.0,0,0
339,Tom Shadyac,Ace Ventura: Pet Detective,1994-02-04,7.1478264,15000000,107217396
340,Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,inf,0,11220670
341,Iain Softley,Backbeat,1994-04-01,0.0,0,0
342,Roman Polanski,Bitter Moon,1992-09-02,0.372561,5000000,1862805
343,Woody Allen,Bullets Over Broadway,1994-10-14,0.0,0,0
344,Phillip Noyce,Clear and Present Danger,1994-08-03,3.482059951612903,62000000,215887717
345,Joel Schumacher,The Client,1994-07-20,2.613671355555556,45000000,117615211
346,Jessie Nelson,"Corrina, Corrina",1994-08-12,0.0,0,0
347,Spike Lee,Crooklyn,1994-05-13,0.0,0,0
348,Alex Proyas,The Crow,1994-05-11,6.266666666666667,15000000,94000000
349,Ron Shelton,Cobb,1994-12-02,inf,0,1007583
350,Brian Levant,The Flintstones,1994-05-26,7.426765391304348,46000000,341631208
351,Robert Zemeckis,Forrest Gump,1994-07-06,12.326279981818182,55000000,677945399
352,Mike Newell,Four Weddings and a Funeral,1994-03-09,42.45013866666667,6000000,254700832
353,John Singleton,Higher Learning,1995-01-11,inf,0,38290723
354,Darnell Martin,I Like It Like That,1994-10-14,inf,0,1777020
355,Charles Shyer,I Love Trouble,1994-06-29,1.3766059333333334,45000000,61947267
356,Andrew Bergman,It Could Happen to You,1994-07-29,0.0,0,0
357,Stephen Sommers,The Jungle Book,1994-12-23,0.0,0,0
358,Ray Müller,"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,inf,0,449707
359,Roger Allers,The Lion King,1994-06-23,17.516483911111113,45000000,788241776
360,Bernardo Bertolucci,Little Buddha,1993-12-01,0.1388039714285714,35000000,4858139
361,Wes Craven,New Nightmare,1994-10-13,1.2921557857142858,14000000,18090181
362,Chuck Russell,The Mask,1994-07-29,15.286235086956522,23000000,351583407
363,Richard Donner,Maverick,1994-05-20,0.0,0,0
364,Alan Rudolph,Mrs. Parker and the Vicious Circle,1994-09-07,0.0,0,0
365,Peter Segal,The Naked Gun 33⅓: The Final Insult,1994-03-18,1.7044199333333334,30000000,51132598
366,Ron Howard,The Paper,1994-03-18,0.0,6000000,0
367,Ben Stiller,Reality Bites,1994-02-18,1.7460739130434784,11500000,20079850
368,John Dahl,Red Rock West,1993-07-08,0.25,8000000,2000000
369,Donald Petrie,Ri¢hie Ri¢h,1994-12-19,0.0,40000000,0
370,Robert Allan Ackerman,Safe Passage,1994-12-01,0.0,0,0
371,Curtis Hanson,The River Wild,1994-09-30,0.0,45000000,0
372,Jan de Bont,Speed,1994-06-09,11.681604833333331,30000000,350448145
373,Ron Underwood,Speechless,1994-12-16,0.0,0,0
374,Peter Hyams,Timecop,1994-09-15,3.764688185185185,27000000,101646581
375,James Cameron,True Lies,1994-07-14,3.2946296608695653,115000000,378882411
376,Luis Mandoki,When a Man Loves a Woman,1994-04-29,inf,0,50021959
