,belongs_to_collection,id,title,vote_average,vote_count
503,{},9800.0,Philadelphia,7.6,1019.0
504,{},713.0,The Piano,7.1,290.0
505,{},8291.0,Poetic Justice,6.9,47.0
506,{},18133.0,The Program,6.0,28.0
507,{},25557.0,The Puppet Masters,5.6,41.0
508,{},22588.0,Radioland Murders,5.8,12.0
509,{},10872.0,The Ref,6.7,99.0
510,{},1245.0,The Remains of the Day,7.5,213.0
511,{},11858.0,Renaissance Man,5.9,83.0
512,{},7007.0,Rising Sun,5.8,188.0
513,{},10467.0,The Road to Wellville,5.5,43.0
514,RoboCop Collection,5550.0,RoboCop 3,4.2,309.0
515,{},8005.0,Robin Hood: Men in Tights,6.4,575.0
516,{},2088.0,Romeo Is Bleeding,5.7,36.0
517,{},10412.0,Romper Stomper,6.6,126.0
518,{},47889.0,Ruby in Paradise,5.6,10.0
519,{},14534.0,Rudy,7.2,187.0
520,{},56583.0,The Saint of Fort Washington,4.0,5.0
521,{},41878.0,Savage Nights,6.2,11.0
522,{},424.0,Schindler's List,8.3,4436.0
523,{},35233.0,The Scout,5.3,37.0
