,title,runtime,release_year
93,Broken Arrow,108.0,1996
94,A Midwinter's Tale,99.0,1995
95,La Haine,98.0,1995
96,Shopping,105.0,1994
97,Heidi Fleiss: Hollywood Madam,106.0,1995
98,City Hall,111.0,1996
99,Bottle Rocket,91.0,1996
100,Mr. Wrong,96.0,1996
101,Unforgettable,106.0,1996
102,Happy Gilmore,92.0,1996
103,The Bridges of Madison County,135.0,1995
104,Nobody Loves Me,104.0,1994
105,Muppet Treasure Island,100.0,1996
106,Catwalk,95.0,1995
107,Headless Body in Topless Bar,110.0,1995
108,Braveheart,177.0,1995
109,Taxi Driver,114.0,1976
110,Rumble in the Bronx,91.0,1995
111,Before and After,108.0,1996
112,Margaret's Museum,114.0,1995
113,Happiness Is in the Field,106.0,1995
114,Anne Frank Remembered,117.0,1995
115,The Young Poisoner's Handbook,99.0,1995
116,If Lucy Fell,92.0,1996
117,Steal Big Steal Little,113.0,1995
118,Race the Sun,100.0,1996
119,The Boys of St. Vincent,90.0,1992
120,Boomerang,117.0,1992
121,Chungking Express,102.0,1994
122,The Star Maker,113.0,1995
123,Flirting with Disaster,92.0,1996
124,The Neverending Story III: Escape from Fantasia,95.0,1994
125,The Silences of the Palace,116.0,1994
126,Jupiter's Wife,87.0,1995
127,Pie in the Sky,95.0,1996
128,Angela,99.0,1995
129,Frankie Starlight,101.0,1995
130,Jade,95.0,1995
131,Nueba Yol,102.0,1995
132,Sonic Outlaws,87.0,1995
133,Down Periscope,92.0,1996
134,From the Journals of Jean Seberg,97.0,1995
135,Man of the Year,86.0,1995
136,The Neon Bible,91.0,1995
137,Target,122.0,1995
138,Up Close & Personal,119.0,1996
139,The Birdcage,117.0,1996
140,Virgin Mary,125.0,1995
141,The Brothers McMullen,98.0,1995
142,Bad Boys,118.0,1995
143,The Amazing Panda Adventure,81.0,1995
144,The Basketball Diaries,102.0,1995
145,An Awfully Big Adventure,113.0,1995
146,Amateur,105.0,1994
147,Apollo 13,140.0,1995
148,Rob Roy,139.0,1995
149,The Addiction,82.0,1995
150,Batman Forever,121.0,1995
151,Belle de Jour,101.0,1967
152,Beyond Rangoon,100.0,1995
153,Blue in the Face,83.0,1995
154,Canadian Bacon,91.0,1995
155,Casper,100.0,1995
156,Clockers,128.0,1995
157,Congo,109.0,1995
158,Crimson Tide,116.0,1995
159,Crumb,119.0,1994
160,Desperado,104.0,1995
161,Devil in a Blue Dress,102.0,1995
162,Die Hard: With a Vengeance,128.0,1995
163,The Doom Generation,80.0,1995
164,Feast of July,116.0,1995
165,First Knight,134.0,1995
166,Free Willy 2 - The Adventure Home,95.0,1995
167,Hackers,107.0,1995
168,Jeffrey,92.0,1995
169,Johnny Mnemonic,97.0,1995
170,Judge Dredd,96.0,1995
171,Jury Duty,88.0,1995
172,Kids,91.0,1995
173,Living in Oblivion,89.0,1995
174,Lord of Illusions,119.0,1995
175,Love & Human Remains,100.0,1993
176,Mad Love,95.0,1995
177,Mallrats,94.0,1995
178,Mighty Morphin Power Rangers: The Movie,92.0,1995
179,Moonlight and Valentino,100.0,1995
180,Mute Witness,95.0,1995
181,Nadja,93.0,1994
182,The Net,114.0,1995
183,Nine Months,103.0,1995
184,Party Girl,94.0,1995
185,The Prophecy,98.0,1995
186,Reckless,91.0,1995
187,Safe,119.0,1995
188,The Scarlet Letter,135.0,1995
189,The Show,93.0,1995
190,Showgirls,128.0,1995
191,Smoke,112.0,1995
192,Something to Talk About,106.0,1995
193,Species,108.0,1995
194,The Stars Fell on Henrietta,109.0,1995
195,Strange Days,145.0,1995
196,The Umbrellas of Cherbourg,91.0,1964
197,The Tie That Binds,99.0,1995
198,Three Wishes,115.0,1995
199,Total Eclipse,111.0,1995
200,"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,1995
201,Under Siege 2: Dark Territory,100.0,1995
202,Unstrung Heroes,93.0,1995
203,Unzipped,73.0,1995
204,A Walk in the Clouds,103.0,1995
205,Waterworld,135.0,1995
206,White Man's Burden,89.0,1995
207,Wild Bill,98.0,1995
208,The Browning Version,97.0,1994
209,Bushwhacked,90.0,1995
210,Burnt by the Sun,135.0,1994
211,Before the Rain,113.0,1994
212,Before Sunrise,105.0,1995
213,Billy Madison,89.0,1995
214,The Babysitter,90.0,1995
215,Boys on the Side,115.0,1995
216,The Cure,97.0,1995
217,Castle Freak,95.0,1995
218,Circle of Friends,103.0,1995
219,Clerks,92.0,1994
220,Don Juan DeMarco,97.0,1994
221,Disclosure,123.0,1994
222,Dream Man,0.0,1995
223,Drop Zone,101.0,1994
224,Destiny Turns on the Radio,0.0,1995
225,Death and the Maiden,103.0,1994
226,Dolores Claiborne,132.0,1995
227,Dumb and Dumber,107.0,1994
228,Eat Drink Man Woman,123.0,1994
229,Exotica,103.0,1994
230,Exit to Eden,113.0,1994
231,Ed Wood,127.0,1994
232,French Kiss,111.0,1995
233,Forget Paris,101.0,1995
234,Far from Home: The Adventures of Yellow Dog,87.0,1995
235,A Goofy Movie,78.0,1995
236,Hideaway,103.0,1995
237,Fluke,96.0,1995
238,Farinelli,111.0,1994
239,Gordy,90.0,1995
240,Gumby: The Movie,77.0,1995
241,The Glass Shield,109.0,1994
242,Hoop Dreams,171.0,1994
243,Heavenly Creatures,99.0,1994
244,Houseguest,113.0,1995
245,Immortal Beloved,121.0,1994
246,Heavyweights,100.0,1995
247,The Hunted,106.0,1995
248,I.Q.,100.0,1994
249,Interview with the Vampire,123.0,1994
250,Jefferson in Paris,139.0,1995
251,The Jerky Boys,82.0,1995
252,Junior,109.0,1994
253,Just Cause,102.0,1995
254,A Kid in King Arthur's Court,89.0,1995
255,Kiss of Death,101.0,1995
256,Star Wars,121.0,1977
257,Little Women,115.0,1994
258,A Little Princess,97.0,1995
259,Ladybird Ladybird,101.0,1994
260,L'Enfer,100.0,1994
261,Like Water for Chocolate,105.0,1992
262,Legends of the Fall,133.0,1994
263,Major Payne,95.0,1995
264,Little Odessa,98.0,1994
265,Mi Vida Loca,92.0,1994
266,Love Affair,108.0,1994
267,Losing Isaiah,106.0,1995
268,The Madness of King George,107.0,1994
269,Mary Shelley's Frankenstein,123.0,1994
270,Man of the House,96.0,1995
271,Mixed Nuts,97.0,1994
272,Milk Money,108.0,1994
273,Miracle on 34th Street,114.0,1994
274,Miami Rhapsody,95.0,1995
275,My Family,128.0,1995
276,Murder in the First,122.0,1995
277,Nobody's Fool,110.0,1994
278,Nell,112.0,1994
279,New Jersey Drive,98.0,1995
280,New York Cop,93.0,1993
281,Beyond Bedlam,89.0,1994
282,Nemesis 2 - Nebula,83.0,1995
283,Nina Takes a Lover,100.0,1995
284,Natural Born Killers,119.0,1994
285,Only You,115.0,1994
286,Once Were Warriors,99.0,1994
287,Poison Ivy II: Lily,106.0,1996
288,Outbreak,127.0,1995
289,Leon: The Professional,110.0,1994
290,The Perez Family,113.0,1995
291,A Pyromaniac's Love Story,94.0,1995
292,Pulp Fiction,154.0,1994
293,Panther,124.0,1995
294,Pushing Hands,105.0,1992
295,Priest,98.0,1994
296,Quiz Show,133.0,1994
297,Picture Bride,94.0,1995
298,Queen Margot,162.0,1994
299,The Quick and the Dead,107.0,1995
300,Roommates,108.0,1995
301,Prêt-à-Porter,133.0,1994
302,Three Colors: Red,99.0,1994
303,Three Colors: Blue,98.0,1993
304,Three Colors: White,91.0,1994
305,"Red Firecracker, Green Firecracker",111.0,1994
306,Rent-a-Kid,85.0,1995
307,Relative Fear,90.0,1995
308,Stuart Saves His Family,95.0,1995
309,The Swan Princess,89.0,1994
310,The Secret of Roan Inish,97.0,1994
311,The Specialist,110.0,1994
312,Stargate,121.0,1994
313,The Santa Clause,97.0,1994
314,The Shawshank Redemption,142.0,1994
315,Shallow Grave,92.0,1994
316,Suture,96.0,1993
317,Strawberry and Chocolate,108.0,1993
318,Swimming with Sharks,101.0,1994
319,The Sum of Us,100.0,1994
320,Senior Trip,91.0,1995
321,To Live,125.0,1994
322,Tank Girl,98.0,1995
323,Tales from the Crypt: Demon Knight,92.0,1995
324,Star Trek: Generations,118.0,1994
325,Tales from the Hood,98.0,1995
326,Tom & Viv,115.0,1994
327,Village of the Damned,99.0,1995
328,Tommy Boy,97.0,1995
329,Vanya on 42nd Street,119.0,1994
330,The Underneath,99.0,1995
331,The Walking Dead,88.0,1995
332,What's Eating Gilbert Grape,118.0,1993
333,Virtuosity,106.0,1995
334,While You Were Sleeping,103.0,1995
335,The War,126.0,1994
336,Double Happiness,87.0,1994
337,Muriel's Wedding,106.0,1994
338,The Baby-Sitters Club,94.0,1995
339,Ace Ventura: Pet Detective,86.0,1994
340,"The Adventures of Priscilla, Queen of the Desert",104.0,1994
341,Backbeat,100.0,1994
342,Bitter Moon,139.0,1992
343,Bullets Over Broadway,98.0,1994
344,Clear and Present Danger,141.0,1994
345,The Client,119.0,1994
346,"Corrina, Corrina",115.0,1994
347,Crooklyn,115.0,1994
348,The Crow,102.0,1994
349,Cobb,128.0,1994
350,The Flintstones,91.0,1994
351,Forrest Gump,142.0,1994
352,Four Weddings and a Funeral,117.0,1994
353,Higher Learning,127.0,1995
354,I Like It Like That,104.0,1994
355,I Love Trouble,123.0,1994
356,It Could Happen to You,101.0,1994
357,The Jungle Book,111.0,1994
358,"The Wonderful, Horrible Life of Leni Riefenstahl",180.0,1993
359,The Lion King,89.0,1994
360,Little Buddha,140.0,1993
361,New Nightmare,112.0,1994
362,The Mask,101.0,1994
363,Maverick,127.0,1994
364,Mrs. Parker and the Vicious Circle,125.0,1994
365,The Naked Gun 33⅓: The Final Insult,83.0,1994
366,The Paper,112.0,1994
367,Reality Bites,99.0,1994
368,Red Rock West,98.0,1993
369,Ri¢hie Ri¢h,95.0,1994
370,Safe Passage,98.0,1994
371,The River Wild,111.0,1994
372,Speed,116.0,1994
373,Speechless,99.0,1994
374,Timecop,99.0,1994
375,True Lies,141.0,1994
376,When a Man Loves a Woman,126.0,1994
377,Wolf,125.0,1994
378,Wyatt Earp,191.0,1994
379,Bad Company,108.0,1995
380,A Man of No Importance,99.0,1994
381,S.F.W.,96.0,1994
382,A Low Down Dirty Shame,100.0,1994
383,"Boys Life: Three Stories of Love, Lust, and Liberation",91.0,1994
384,Colonel Chabert,110.0,1994
385,"Faster, Pussycat! Kill! Kill!",83.0,1965
386,Jason's Lyric,119.0,1994
387,The Secret Adventures of Tom Thumb,61.0,1993
388,Street Fighter,102.0,1994
389,Coldblooded,92.0,1995
390,Desert Winds,97.0,1997
391,Fall Time,88.0,1995
392,The Fear,98.0,1995
393,Frank and Ollie,89.0,1995
394,Girl in the Cadillac,89.0,1995
395,Homage,97.0,1995
396,Mirage,92.0,1995
397,Open Season,97.0,1996
398,Dos Crímenes,0.0,1995
399,Brother Minister: The Assassination of Malcolm X,115.0,1995
400,Highlander: The Final Dimension,99.0,1994
401,Federal Hill,97.0,1995
402,In the Mouth of Madness,95.0,1994
403,8 Seconds,105.0,1994
404,Above the Rim,96.0,1994
405,Addams Family Values,94.0,1993
406,Martin Lawrence: You So Crazy,84.0,1994
407,The Age of Innocence,139.0,1993
408,Airheads,92.0,1994
409,The Air Up There,107.0,1994
410,Another Stakeout,105.0,1993
411,Bad Girls,99.0,1994
412,Barcelona,100.0,1994
413,Being Human,122.0,1994
414,The Beverly Hillbillies,93.0,1993
415,Beverly Hills Cop III,104.0,1994
416,Black Beauty,88.0,1994
417,Blink,106.0,1994
418,Blown Away,121.0,1994
419,Blue Chips,108.0,1994
420,Blue Sky,101.0,1994
421,Body Snatchers,87.0,1993
422,Boxing Helena,107.0,1993
423,A Bronx Tale,121.0,1993
424,Cabin Boy,80.0,1994
425,Calendar Girl,90.0,1993
426,Carlito's Way,144.0,1993
427,City Slickers II: The Legend of Curly's Gold,116.0,1994
428,Clean Slate,107.0,1994
429,Cliffhanger,112.0,1993
430,Coneheads,88.0,1993
431,Color of Night,121.0,1994
432,Cops & Robbersons,93.0,1994
433,The Cowboy Way,102.0,1994
434,Dangerous Game,108.0,1993
435,Dave,110.0,1993
436,Dazed and Confused,102.0,1993
437,Demolition Man,115.0,1993
438,The Endless Summer 2,109.0,1994
439,Even Cowgirls Get the Blues,96.0,1994
440,Fatal Instinct,91.0,1993
441,Farewell My Concubine,171.0,1993
442,The Favor,97.0,1994
443,Fearless,122.0,1993
444,Fear of a Black Hat,88.0,1994
445,With Honors,103.0,1994
446,Flesh and Bone,126.0,1993
447,Widows' Peak,101.0,1994
448,For Love or Money,94.0,1993
449,The Firm,154.0,1993
450,Free Willy,112.0,1993
451,Fresh,114.0,1994
452,The Fugitive,130.0,1993
453,Geronimo: An American Legend,115.0,1993
454,The Getaway,115.0,1994
455,Getting Even with Dad,109.0,1994
456,Go Fish,83.0,1994
457,A Good Man in Africa,94.0,1994
458,Guilty as Sin,107.0,1993
459,Hard Target,97.0,1993
460,Heaven & Earth,140.0,1993
461,Hot Shots! Part Deux,86.0,1993
462,Live Nude Girls,95.0,1995
463,The Englishman Who Went Up a Hill But Came Down a Mountain,99.0,1995
464,The House of the Spirits,140.0,1993
465,House Party 3,100.0,1994
466,The Hudsucker Proxy,111.0,1994
467,I'll Do Anything,115.0,1994
468,In the Army Now,91.0,1994
469,In the Line of Fire,128.0,1993
470,In the Name of the Father,133.0,1993
471,The Inkwell,110.0,1994
472,What's Love Got to Do with It,118.0,1993
473,Jimmy Hollywood,112.0,1994
474,Judgment Night,110.0,1993
475,Jurassic Park,127.0,1993
476,Kalifornia,117.0,1993
477,Killing Zoe,96.0,1993
478,King of the Hill,103.0,1993
479,Lassie,94.0,1994
480,Last Action Hero,130.0,1993
481,Life With Mikey,91.0,1993
482,Lightning Jack,98.0,1994
483,M. Butterfly,101.0,1993
484,Made in America,111.0,1993
485,Malice,107.0,1993
486,The Man without a Face,114.0,1993
487,Manhattan Murder Mystery,104.0,1993
488,Menace II Society,97.0,1993
489,Executive Decision,133.0,1996
490,In the Realm of the Senses,105.0,1976
491,What Happened Was...,91.0,1994
492,Much Ado About Nothing,111.0,1993
493,Mr. Jones,114.0,1993
494,Mr. Wonderful,98.0,1993
495,Mrs. Doubtfire,125.0,1993
496,Naked,131.0,1993
497,The Next Karate Kid,107.0,1994
498,The New Age,112.0,1994
499,No Escape,118.0,1994
500,North,87.0,1994
501,Orlando,93.0,1992
502,A Perfect World,138.0,1993
503,Philadelphia,125.0,1993
504,The Piano,121.0,1993
505,Poetic Justice,109.0,1993
506,The Program,112.0,1993
507,The Puppet Masters,109.0,1994
508,Radioland Murders,108.0,1994
509,The Ref,97.0,1994
510,The Remains of the Day,134.0,1993
511,Renaissance Man,128.0,1994
512,Rising Sun,125.0,1993
513,The Road to Wellville,118.0,1994
514,RoboCop 3,104.0,1993
515,Robin Hood: Men in Tights,104.0,1993
516,Romeo Is Bleeding,100.0,1993
517,Romper Stomper,94.0,1992
518,Ruby in Paradise,114.0,1993
519,Rudy,114.0,1993
520,The Saint of Fort Washington,99.0,1993
521,Savage Nights,126.0,1992
522,Schindler's List,195.0,1993
523,The Scout,101.0,1994
524,Searching for Bobby Fischer,110.0,1993
525,Second Best,105.0,1994
526,The Secret Garden,102.0,1993
527,Serial Mom,95.0,1994
528,The Shadow,108.0,1994
529,Shadowlands,131.0,1993
530,Short Cuts,187.0,1993
531,A Simple Twist of Fate,106.0,1994
532,Sirens,98.0,1993
533,Six Degrees of Separation,112.0,1993
534,Sleepless in Seattle,105.0,1993
535,Sliver,108.0,1993
536,Blade Runner,117.0,1982
537,Son in Law,95.0,1993
538,So I Married an Axe Murderer,93.0,1993
539,Striking Distance,102.0,1993
540,Harem,113.0,1985
541,Super Mario Bros.,104.0,1993
542,Surviving the Game,96.0,1994
543,Terminal Velocity,102.0,1994
544,Thirty Two Short Films About Glenn Gould,93.0,1993
545,Threesome,93.0,1994
546,The Nightmare Before Christmas,76.0,1993
547,The Three Musketeers,105.0,1993
548,Tombstone,130.0,1993
549,Trial by Jury,107.0,1994
550,True Romance,120.0,1993
551,The War Room,96.0,1993
552,The Pagemaster,80.0,1994
553,"Paris, France",112.0,1994
554,"The Beans of Egypt, Maine",0.0,1994
555,Killer,97.0,1994
556,Welcome to the Dollhouse,88.0,1995
557,Germinal,160.0,1993
558,Chasers,102.0,1994
559,Cronos,94.0,1993
560,Naked in New York,95.0,1993
561,Kika,117.0,1993
562,Bhaji on the Beach,100.0,1994
563,Little Big League,119.0,1994
564,The Slingshot,102.0,1993
565,Wide Eyed and Legless,102.0,1993
566,Foreign Student,90.0,1994
567,"Ciao, Professore!",100.0,1992
568,Spanking the Monkey,106.0,1994
569,The Little Rascals,82.0,1994
570,À la mode,82.0,1993
571,Andre,94.0,1994
572,The Escort,92.0,1993
573,Princess Caraboo,97.0,1994
574,The Celluloid Closet,102.0,1996
575,Café au Lait,94.0,1993
576,Dear Diary,100.0,1993
577,I Don't Want to Talk About It,106.0,1993
578,The Brady Bunch Movie,84.0,1995
579,Home Alone,103.0,1990
580,Ghost,127.0,1990
581,Aladdin,90.0,1992
582,Terminator 2: Judgment Day,137.0,1991
583,Dances with Wolves,181.0,1990
584,Tough and Deadly,92.0,1995
585,Batman,126.0,1989
586,The Silence of the Lambs,119.0,1991
587,Snow White and the Seven Dwarfs,83.0,1937
588,Beauty and the Beast,84.0,1991
589,Pinocchio,88.0,1940
590,Pretty Woman,119.0,1990
591,Window to Paris,87.0,1993
592,The Wild Bunch,145.0,1969
593,Love and a .45,101.0,1994
594,The Wooden Man's Bride,113.0,1994
595,A Great Day in Harlem,60.0,1994
596,Bye Bye Love,106.0,1995
597,One Fine Day,108.0,1996
598,Candyman: Farewell to the Flesh,93.0,1995
599,Century,112.0,1993
600,Fargo,98.0,1996
601,Homeward Bound II: Lost in San Francisco,89.0,1996
602,Heavy Metal,90.0,1981
603,Hellraiser: Bloodline,86.0,1996
604,The Pallbearer,97.0,1996
605,Jane Eyre,112.0,1996
606,Loaded,91.0,1996
607,Bread and Chocolate,100.0,1974
608,The Aristocats,78.0,1970
609,The Flower of My Secret,107.0,1995
610,Two Much,118.0,1996
611,Ed,94.0,1996
612,Scream of Stone,105.0,1991
613,My Favorite Season,127.0,1993
614,A Modern Affair,90.0,1996
615,Condition Red,83.0,1995
616,Halfaouine: Boy of the Terraces,98.0,1990
617,A Thin Line Between Love and Hate,108.0,1996
618,The Last Supper,92.0,1995
619,Primal Fear,129.0,1996
620,Rude,89.0,1995
621,Carried Away,109.0,1996
622,All Dogs Go to Heaven 2,82.0,1996
623,Land and Freedom,109.0,1995
624,Denise Calls Up,80.0,1995
625,Theodore Rex,92.0,1995
626,A Family Thing,109.0,1996
627,Frisk,88.0,1996
628,Sgt. Bilko,90.0,1996
629,Jack & Sarah,110.0,1995
630,Girl 6,108.0,1996
631,Diabolique,107.0,1996
632,"Little Indian, Big City",90.0,1994
633,Roula,97.0,1995
634,Peanuts – Die Bank zahlt alles,,1996
635,Happy Weekend,,1996
636,Nelly and Monsieur Arnaud,106.0,1996
637,Courage Under Fire,117.0,1996
638,Mission: Impossible,110.0,1996
639,Cold Fever,85.0,1995
640,Moll Flanders,123.0,1996
641,The Superwife,86.0,1996
642,"301, 302",100.0,1995
643,DragonHeart,103.0,1996
644,Und keiner weint mir nach,,1996
645,My Mother's Courage,93.0,1995
646,Eddie,100.0,1996
647,Yankee Zulu,100.0,1993
648,Billy's Holiday,92.0,1995
649,Purple Noon,115.0,1960
650,August,94.0,1996
651,James and the Giant Peach,79.0,1996
652,Fear,97.0,1996
653,Kids in the Hall: Brain Candy,89.0,1996
654,Faithful,91.0,1996
655,Underground,170.0,1995
656,All Things Fair,130.0,1995
657,Bloodsport II,90.0,1996
658,Pather Panchali,125.0,1955
659,The World of Apu,117.0,1959
660,Mystery Science Theater 3000: The Movie,73.0,1996
661,Tarantella,100.0,1996
662,Space Jam,88.0,1996
663,Barbarella,98.0,1968
664,Hostile Intentions,90.0,1995
665,They Bite,98.0,1996
666,Some Folks Call It a Sling Blade,25.0,1994
667,The Run of the Country,0.0,1995
668,Alphaville,100.0,1965
669,Coup de Torchon,128.0,1981
670,Tigrero: A Film That Was Never Made,75.0,1994
671,The Eye of Vichy,110.0,1993
672,Windows,96.0,1980
673,It's My Party,110.0,1996
674,Country Life,118.0,1994
675,Operation Dumbo Drop,107.0,1995
676,The Promise,115.0,1995
677,The Promise,115.0,1995
678,The Promise,115.0,1995
679,The Promise,115.0,1995
680,Mrs. Winterbourne,105.0,1996
681,Solo,94.0,1996
682,Under The Domim Tree,0.0,1994
683,The Substitute,114.0,1996
684,True Crime,94.0,1996
685,Butterfly Kiss,88.0,1995
686,Feeling Minnesota,99.0,1996
687,Delta of Venus,99.0,1995
688,To Cross the Rubicon,0.0,1991
689,Angus,90.0,1995
690,Priest Daens,138.0,1992
691,Faces,130.0,1968
692,Boys,86.0,1996
693,The Quest,95.0,1996
694,Cosi,102.0,1996
695,Sunset Park,99.0,1996
696,Mulholland Falls,107.0,1996
697,The Truth About Cats & Dogs,93.0,1996
698,Oliver & Company,74.0,1988
699,Celtic Pride,91.0,1996
700,Flipper,95.0,1996
701,Captives,100.0,1994
702,Of Love and Shadows,103.0,1994
703,Dead Man,121.0,1995
704,The Horseman on the Roof,135.0,1995
705,Switchblade Sisters,91.0,1975
706,Mouth to Mouth,106.0,1995
707,The Visitors,107.0,1993
708,Multiplicity,117.0,1996
709,"The Haunted World of Edward D. Wood, Jr.",112.0,1996
710,Two Friends,86.0,2002
711,The Craft,101.0,1996
712,The Great White Hype,91.0,1996
713,Last Dance,103.0,1996
714,Cold Comfort Farm,95.0,1995
715,"Institute Benjamenta, or This Dream People Call Human Life",104.0,1995
716,Heaven's Prisoners,132.0,1996
717,Original Gangstas,99.0,1996
718,The Rock,136.0,1996
719,Getting Away with Murder,91.0,1996
720,Cemetery Man,105.0,1994
721,Twister,113.0,1996
722,Barb Wire,98.0,1996
723,Le Garçu,102.0,1995
724,Honeymoon,92.0,1996
725,Ghost in the Shell,83.0,1995
726,Thinner,92.0,1996
727,Spy Hard,81.0,1996
728,Brothers in Trouble,102.0,1995
729,A Close Shave,30.0,1995
730,Force of Evil,78.0,1948
731,The Stupids,94.0,1996
732,The Arrival,115.0,1996
733,The Man from Down Under,103.0,1943
734,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964
735,Careful,100.0,1992
736,A Month by the Lake,92.0,1995
737,Gold Diggers: The Secret of Bear Mountain,94.0,1995
738,Kim,113.0,1950
739,Carmen Miranda: Bananas Is My Business,91.0,1995
740,Ashes of Time,100.0,1994
741,The Jar,86.0,1994
742,Maya Lin: A Strong Clear Vision,105.0,1995
743,Stalingrad,134.0,1993
744,The Phantom,100.0,1996
745,Striptease,115.0,1996
746,The Last of the High Kings,102.0,1996
747,Heavy,105.0,1995
748,Jack,113.0,1996
749,I Shot Andy Warhol,103.0,1996
750,The Grass Harp,107.0,1995
751,Someone Else's America,96.0,1995
752,Life is Rosy,80.0,1987
753,Quartier Mozart,80.0,1992
754,Touki Bouki,85.0,1973
755,God's Gift,75.0,1982
756,Spirits of the Dead,121.0,1968
757,Babyfever,109.0,1994
758,Pharaoh's  Army,90.0,1995
759,Trainspotting,93.0,1996
760,Til There Was You,113.0,1997
761,Independence Day,145.0,1996
762,Stealing Beauty,116.0,1996
763,The Fan,116.0,1996
764,The Hunchback of Notre Dame,91.0,1996
765,The Cable Guy,96.0,1996
766,Kingpin,113.0,1996
767,Eraser,115.0,1996
768,The Gate of Heavenly Peace,180.0,1995
769,The Nutty Professor,95.0,1996
770,"I, the Worst of All",105.0,1990
771,An Unforgettable Summer,82.0,1994
772,A Hungarian Fairy Tale,97.0,1987
773,My Life and Times With Antonin Artaud,90.0,1993
774,Midnight Dancers,100.0,1994
775,Somebody to Love,102.0,1994
776,A Very Natural Thing,80.0,1974
777,The Old Lady Who Walked in the Sea,0.0,1991
778,Daylight,115.0,1996
779,The Frighteners,110.0,1996
780,Lone Star,135.0,1996
781,Harriet the Spy,100.0,1996
782,Phenomenon,123.0,1996
783,Walking and Talking,86.0,1996
784,She's the One,96.0,1996
785,A Time to Kill,149.0,1996
786,American Buffalo,88.0,1996
787,Rendezvous in Paris,94.0,1995
788,Alaska,109.0,1996
789,Fled,98.0,1996
790,Kazaam,93.0,1996
791,Magic Hunter,106.0,1994
792,Larger Than Life,93.0,1996
793,A Boy Called Hate,0.0,1996
794,Power 98,89.0,1996
795,Two Deaths,102.0,1995
796,A Very Brady Sequel,90.0,1996
797,Stefano Quantestorie,82.0,1993
798,Death in the Garden,104.0,1956
799,Hedd Wyn,123.0,1992
800,La Collectionneuse,89.0,1967
