,production_companies,revenue
28,"Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Club d'Investissement Média, Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images",1738611
29,"Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma",0
30,"Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",180000000
31,"Universal Pictures, Atlas Entertainment, Classico",168840000
32,Iwerks Entertainment,0
33,"Universal Pictures, Kennedy Miller Productions",254134910
34,"StudioCanal, Cinéa, Euston Films, Freeway Films, European Co-production Fund, Polygram Filmed Entertainment, Orsans Productions",0
35,"Havoc, PolyGram Filmed Entertainment, Working Title Films",39363635
36,Sony New Technologies,0
37,"Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",0
38,Paramount Pictures,0
39,"Miramax, Distant Horizon, Alpine Pty Limited",676525
40,"British Screen, Mayfair Entertainment International",0
41,"Caravan Pictures, Underworld Entertainment, Hollywood Pictures",0
42,Miramax Films,0
43,"New Line Cinema, Threshold Entertainment",122195920
44,"The Rank Organisation, Columbia Pictures Corporation",21284514
45,"Universal Pictures, Amblin Entertainment",23574130
46,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",327311859
47,"Walt Disney Pictures, Walt Disney Feature Animation",346079773
48,Alliance Communications Corporation,0
49,"Blue Parrot Productions, Bad Hat Harry Productions",23341568
50,,0
51,"Miramax Films, Magnolia Pictures",6700000
52,,0
53,"Walt Disney Pictures, Caravan Pictures",0
54,"Miramax Films, CiBy 2000",0
55,"Telefilm Canada, Melenny Productions",0
56,"Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",17519169
57,,0
58,,0
59,"Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",0
60,Paramount Pictures,0
61,"Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",106269971
62,"Miramax Films, Island Pictures, Ivory Way Productions",0
63,"Warner Bros., Morgan Creek Productions",0
64,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",0
65,New Line Cinema,2409225
66,Miramax Films,0
67,"Renn Productions, Les Films Flam, TF1 Films Production, Canal+",0
68,New Line Cinema,28215918
69,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",25836616
70,"Silver Pictures, Warner Bros.",11534477
71,"Castleberg Productions, Sandollar Productions",718490
72,"Les Films 13, Canal+, TF1",0
73,"New Line Cinema, Juno Pix",19030691
74,"Warner Bros., Morgan Creek Productions",2042530
75,"The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films",5781885
76,"Zweites Deutsches Fernsehen (ZDF), Ciak Filmproduktion, Bluehorse Films",0
77,Miramax Films,0
78,Columbia Pictures Corporation,0
79,"I.R.I.B. Channel 2, Ferdos Films",0
80,Miramax Films,529766
81,"Bergen Film, Bard Entertainments, NPS Televisie",0
82,"BET Pictures, United Image Entertainme",0
83,,0
84,"Playhouse International Pictures, The Samuel Goldwyn Company",0
85,"Hollywood Pictures, Largo Entertainment, Scott Free Productions",10300000
86,"Twentieth Century Fox Film Corporation, Joe Wizan/Todd Black",0
87,Paramount Pictures,32
88,Paramount Pictures,8175346
89,"Miramax Films, Addis Wechsler Pictures",0
90,"TriStar Pictures, NFH Productions",12379402
91,Paramount Pictures,19800000
92,"Miramax Films, Woods Entertainment",0
93,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",150270147
94,"Castle Rock Entertainment, Midwinter Films",0
95,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",0
96,Channel Four Films,0
97,"British Broadcasting Corporation (BBC), Westdeutscher Rundfunk (WDR), Canadian Broadcasting Corporation (CBC), Cinemax Reel Life, InPictures, Lafayette Films",0
98,"Columbia Pictures, Castle Rock Entertainment",0
99,"Gracie Films, Columbia Pictures Corporation",560069
100,Touchstone Pictures,0
101,"Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company, Spelling Films",0
102,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",41205099
103,"Amblin Entertainment, Malpaso Productions, Warner Bros.",182016617
104,,0
105,"Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",34327391
106,,0
107,,0
108,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",210000000
109,"Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",28262574
110,"New Line Cinema, Golden Harvest Company",32392047
111,"Caravan Pictures, Hollywood Pictures",0
112,"Téléfilm Canada, Skyline Films, Malofilm, Société de Développement des Entreprises Culturelles (SODEC), British Screen Productions, National Film Board of Canada (NFB), imX Communications, Glace Bay Pictures, Ciné Télé Action, Nova Scotia Film Development Corporation, Ranfilm",0
113,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",0
114,,1
115,Bavaria Film and Television Fund,0
116,"TriStar Pictures, Motion Picture Corporation of America (MPCA)",0
117,Savoy Pictures,6278139
118,TriStar Pictures,0
119,,0
120,Paramount Pictures,70100000
121,"Jet Tone Production, The Criterion Collection",0
122,Cecchi Gori Group Tiger Cinematografica,0
123,Miramax Films,14702438
124,"Studio Babelsberg, Dieter Geissler Filmproduktion, Cinevox Filmproduktion GmbH, Warner Bros., Miramax",0
125,"Canal Horizons, Mat Films, Cinétéléfilms",0
126,,0
127,,0
128,,0
129,"Fine Line Features, Channel Four Films, Bórd Scannán na hÉireann, Canal+",0
130,Paramount Pictures,9851610
131,"Cigua Films, D'Pelicula",0
132,,0
133,Twentieth Century Fox Film Corporation,0
134,Couch Potatoe Productions,0
135,,209935
136,"Channel Four Films, Academy, Mayfair Films, Iberoamerica Films",0
137,,0
138,"Cinergi Pictures Entertainment, Touchstone Pictures",0
139,United Artists,185260553
140,,0
141,Fox Searchlight Pictures,0
142,"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",141407024
143,Warner Bros.,0
144,"New Line Cinema, Island Pictures",0
145,"Fine Line Features, BBC, British Screen Productions, Portman Productions",851545
146,"Channel Four Films, Zenith Entertainment, American Playhouse, Union Générale Cinématographique (UGC), La Sept Cinéma, True Fiction Pictures",0
147,"Imagine Entertainment, Universal Pictures",355237933
148,"United Artists, Talisman Productions",31596911
149,"October Films, Guild, Fastnet Films",0
150,"Warner Bros., Polygram Filmed Entertainment",336529144
151,"Paris Films Productions, Five Films, Robert et Raymond Hakim",0
152,"Columbia Pictures, Castle Rock Entertainment",0
153,"Miramax Films, InterAL",1275000
154,PolyGram Filmed Entertainment,178104
155,"Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",287928194
156,"Universal Pictures, 40 Acres & A Mule Filmworks",13071518
157,"Paramount Pictures, Kennedy/Marshall Company, The",152022101
158,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",157387195
159,Superior Pictures,3174695
160,"Columbia Pictures, Los Hooligans Productions",25405445
161,"TriStar Pictures, Mundy Lane Entertainment",16140822
162,"Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",366101666
163,"Why Not Productions, Desperate Pictures, Blurco, The Teen Angst Movie Company",0
164,"Touchstone Pictures, Merchant Ivory Productions",0
165,"Columbia Pictures Corporation, First Knight Productions",127600435
166,"Regency Enterprises, Alcor Films, Canal+, Donner/Shuler-Donner Productions, Warner Bros.",0
167,"United Artists, Suftley",7563728
168,"The Booking Office, Workin' Man Films",0
169,"TriStar Pictures, Alliance Communications Corporation",19075720
170,"Hollywood Pictures, Cinergi Pictures Entertainment",113493481
171,TriStar Pictures,17014653
172,Miramax Films,7412216
173,"JDI productions, Lemon Sky Productions",1148752
174,"United Artists, Seraphim Films",0
175,"The Ontario Film Development Corporation, First Choice Films, Atlantis Films, Telefilm Canada, Max Films Productions, Super Écran, Société Générale des Industries Culturelles du Québec (SOGIC)",0
176,Touchstone Pictures,15453274
177,"Universal Pictures, Gramercy Pictures, Alphaville Films, View Askew Productions",2122561
178,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company",66000000
179,"PolyGram Filmed Entertainment, Working Title Films",0
180,"Comet Film Produktion GmbH, Avrora Media, Cobblestone Pictures",1
181,Kino Link Company,0
182,Columbia Pictures,110627965
183,"Twentieth Century Fox Film Corporation, 1492 Pictures",69660733
184,Party Productions,472370
185,Dimension Films,16
186,"Playhouse International Pictures, American Playhouse, Samuel Goldwyn Company, The",0
187,"Killer Films, American Playhouse, Kardana Films, Chemical Films",0
188,"Hollywood Pictures, Cinergi Pictures Entertainment",10382407
189,,0
190,"United Artists, Le Studio Canal+, Carolco Pictures",20350754
191,Miramax Films,8349430
192,"Spring Creek Productions, Warner Bros., Hawn / Sylbert Movie Company",50892160
193,Metro-Goldwyn-Mayer (MGM),113374103
194,"Malpaso Productions, Butcher's Run Films, Warner Bros.",0
195,Lightstorm Entertainment,7959291
196,"Beta Film, Madeleine Films, Parc Film",0
197,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications",5780000
198,Savoy Pictures,7025496
199,"Société Française de Production (SFP), FIT Productions, Portman Productions",339889
200,"Universal Pictures, Amblin Entertainment",47774193
201,"Regency Enterprises, Warner Bros., Seagal/Nasso Productions, Victor Company of Japan (JVC), Cutting Edge Films",104324083
202,Hollywood Pictures,0
203,,0
204,"Twentieth Century Fox Film Corporation, Zucker Brothers Productions",50012507
205,"Universal Pictures, Gordon Company, Davis Entertainment, Licht/Mueller Film Corporation",264218220
206,"HBO, A BandApart, Rysher Entertainment",0
207,United Artists,0
208,Paramount Pictures,0
209,Twentieth Century Fox Film Corporation,0
210,"Canal+, Studio Trite, Caméra One",2616503
211,"PolyGram Audiovisuel, British Screen Productions",763847
212,"Detour Film Production, Warner Bros.",5535405
213,Jack Giarraputo Productions,26488734
214,Spelling Films International,0
215,"Regency Enterprises, Alcor Films, Canal+, New Regency Pictures, Hera Productions",23450000
216,"Universal Pictures, Island World",0
217,Full Moon Entertainment,0
218,"The Rank Organisation, Bórd Scannán na hÉireann, Lantana, Price Entertainment",0
219,"Miramax Films, View Askew Productions",3151130
220,"New Line Cinema, American Zoetrope",22200000
221,"Warner Bros., Baltimore Pictures",214015089
222,"Keystone Pictures, Dream Man Productions Inc",0
223,Paramount Pictures,0
224,"Savoy Pictures, Rysher Entertainment",0
225,"Fine Line Features, Channel Four Films, Capitol Films, TF1 Films Production, Canal+, Flach Film, Les Films de l'Astre",0
226,"Castle Rock Entertainment, Columbia Pictures Corporation",0
227,"New Line Cinema, Motion Picture Corporation of America (MPCA)",247275374
228,"Ang Lee Productions, Good Machine, Central Motion Pictures",7294403
229,"Miramax Films, Alliance Entertainment, Ego Film Arts",0
230,Savoy Pictures,6841570
231,Touchstone Pictures,5887457
232,"Twentieth Century Fox Film Corporation, PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures",0
233,"Columbia Pictures, Castle Rock Entertainment",0
234,Twentieth Century Fox Film Corporation,0
235,Walt Disney Pictures,35348597
236,TriStar Pictures,12201255
237,Metro-Goldwyn-Mayer,0
238,"Italian International Film, Stéphan Films, MG",0
239,,3992809
240,,0
241,Miramax Films,0
242,"Fine Line Features, Kartemquin Films",7830611
243,"WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",3049135
244,"Caravan Pictures, Hollywood Pictures",26325256
245,"Columbia Pictures, Majestic Films International, Icon Entertainment International",0
246,"Walt Disney Pictures, Caravan Pictures",17689177
247,"Universal Pictures, Bregman/Baer Productions",0
248,Paramount Pictures,0
249,Geffen Pictures,223664608
250,"Merchant Ivory Productions, Touchstone Pictures",2474000
251,"Caravan Pictures, Touchstone Pictures",0
252,"Universal Pictures, Northern Lights Entertainment",37000000
253,"Fountainbridge Films, Warner Bros., Lee Rich Productions",0
254,"Walt Disney Pictures, Trimark Pictures",0
255,Twentieth Century Fox Film Corporation,0
256,"Lucasfilm, Twentieth Century Fox Film Corporation",775398007
257,Columbia Pictures,0
258,Warner Bros.,0
259,"Channel Four Films, Parallax Pictures",0
260,MK2 Productions,0
261,"Aviacsa, Cinevista",21665468
262,"Bedford Falls Productions, TriStar Pictures, Pangaea",160638883
263,Universal Pictures,0
264,"Fine Line Features, New Line Cinema, Live Entertainment",0
265,"Channel Four Films, Cineville, Home Box Office (HBO), Showcase Entertaiment Inc.",0
266,Warner Bros.,0
267,Paramount Pictures,7603766
268,"Channel Four Films, Samuel Goldwyn Company, Close Call Films",0
269,"American Zoetrope, TriStar Pictures",112006296
270,Walt Disney Pictures,0
271,TriStar Pictures,0
272,"Paramount Pictures, The Kennedy/Marshall Company",18137661
273,Twentieth Century Fox Film Corporation,46264384
274,Hollywood Pictures,5
275,"American Zoetrope, American Playhouse, Majestic Films International, Newcomb Productions",0
276,"Wolper Organization, Warner Bros.",17381942
277,"Paramount Pictures, Capella International, Cinehaus",0
278,"Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",106683817
279,40 Acres & A Mule Filmworks,0
280,"TOEI, Distant Justice Joint Venture",0
281,Metrodome Films,0
282,"Filmwerks, Imperial Entertainment",0
283,Triumph Films,0
284,"Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures, J D Productions",50282766
285,TriStar Pictures,0
286,"Avalon Studios, New Zealand Film Commission, New Zealand On Air",2201126
287,"New Line Cinema, CineTel Pictures, MG Entertainment",0
288,"Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",189859560
289,"Columbia Pictures, Gaumont",45284974
290,"Samuel Goldwyn Company, The",2832826
291,Hollywood Pictures,0
292,"Miramax Films, A Band Apart, Jersey Films",213928762
293,"Polygram Filmed Entertainment, Gramercy Pictures (I), MVP Films",6834525
294,Ang Lee Productions,152322
295,"BBC Films, PolyGram Filmed Entertainment, Miramax",4176932
296,"Wildwood Enterprises, Hollywood Pictures, Baltimore Pictures",0
297,"Cecile Company, Thousand Cranes Filmworks",0
298,"Renn Productions, Eurimages, Canal+, ARD/Degeto Film GmbH, D.A. Films, France2 Cinéma, WMG Film, Centre National de la Cinématographie (CNC), N.E.F. Filmproduktion und Vertriebs GmbH, Miramax, RCS Films & TV",0
299,TriStar Pictures,18552460
300,"Hollywood Pictures, Interscope Communications, Nomura Babcock & Brown",12400000
301,Miramax Films,11300653
302,"Zespół Filmowy TOR, Le Studio Canal+, France 3 Cinéma, Télévision Suisse-Romande",0
303,"France 3 Cinéma, CED Productions",0
304,"Le Studio Canal+, France 3 Cinéma, Eurimages",0
305,,0
306,,0
307,"Allegro Films, Norstar Entertainment, west wind entertainment",0
308,Paramount Pictures,0
309,Rich Animation Studios,9771658
310,"Jones Entertainment Group, Skerry Productions",0
311,"Jerry Weintraub Productions, Warner Bros., Iguana Producciones",170362582
312,"Centropolis Entertainment, StudioCanal, Carolco Entertainment",196567262
313,"Walt Disney Pictures, Hollywood Pictures",189833357
314,"Castle Rock Entertainment, Warner Bros.",28341469
315,"Channel Four Films, Figment Films, The Glasgow Film Fund, PolyGram Filmed Entertainment",0
316,Kino Korsakoff,102780
317,"Miramax Films, Tabasco films, Instituto Mexicano de Cinematografía (IMCINE), TeleMadrid",0
318,"Cineville, Trimark Pictures",0
319,Samuel Goldwyn Company,0
320,"New Line Cinema, 1992 Number Four Limited Partnership, MHA",0
321,"Shanghai Film Studios, Era International Ltd",0
322,Trilogy Entertainment Group,4064495
323,"Universal Pictures, Tales From The Crypt Holdings",0
324,Paramount Pictures,120000000
325,"40 Acres & A Mule Filmworks, Savoy Pictures",12000000
326,,0
327,Universal Pictures,0
328,Paramount Pictures,32648673
329,Sony Pictures Classics,0
330,Populist Pictures,0
331,"Savoy Pictures, Price Entertainment, Jackson/McHenry Company,The",0
332,Paramount Pictures,10032765
333,Paramount Pictures,24048000
334,"Caravan Pictures, Hollywood Pictures",182057016
335,Universal Pictures,0
336,"Fine Line Features, Téléfilm Canada, First Generation Films, National Film Board of Canada (NFB), British Columbia Film Commission",759393
337,"Ciby 2000, Film Victoria, House & Moorhouse Films",15119639
338,"Columbia Pictures Corporation, Beacon Pictures",0
339,"Warner Bros., Morgan Creek Productions",107217396
340,PolyGram Filmed Entertainment,11220670
341,Gramercy Pictures,0
342,"Fine Line Features, R.P. Productions, Columbia Pictures Corporation, Les Films Alain Sarde, Canal+, Timothy Burrill Productions",1862805
343,Miramax Films,0
344,"Paramount Pictures, Mace Neufeld Productions",215887717
345,"Regency Enterprises, Alcor Films, Warner Bros.",117615211
346,New Line Cinema,0
347,"Universal Pictures, 40 Acres & A Mule Filmworks",0
348,"Miramax Films, Crowvision Inc., Entertainment Media Investment Corporation, Jeff Most Productions, Edward R. Pressman Film",94000000
349,"Regency Enterprises, Alcor Films, Warner Bros., Aleor Films",1007583
350,"Universal Pictures, Amblin Entertainment, Hanna-Barbera Productions",341631208
351,Paramount Pictures,677945399
352,"Channel Four Films, PolyGram Filmed Entertainment, Working Title Films",254700832
353,"Columbia Pictures Corporation, New Deal Productions",38290723
354,"Columbia Pictures Corporation, Think Again Productions, Riot of Color",1777020
355,"Caravan Pictures, Touchstone Pictures",61947267
356,TriStar Pictures,0
357,,0
358,"Channel Four Films, Arte, Zweites Deutsches Fernsehen (ZDF), Nomad Films, Omega Film GmbH, Without Walls",449707
359,"Walt Disney Pictures, Walt Disney Feature Animation",788241776
360,Miramax Films,4858139
361,New Line Cinema,18090181
362,"New Line Cinema, Dark Horse Entertainment",351583407
363,"Icon Entertainment International, Warner Bros.",0
364,"Fine Line Features, Miramax Films",0
365,Paramount Pictures,51132598
366,"Imagine Entertainment, Universal Pictures",0
367,"Universal Pictures, Jersey Films",20079850
368,"Propaganda Films, PolyGram Filmed Entertainment",2000000
369,"Davis Entertainment, Silver Pictures, Warner Bros.",0
370,New Line Cinema,0
371,"Universal Pictures, David Foster Productions, Turman-Foster Company",0
372,Twentieth Century Fox Film Corporation,350448145
373,Metro-Goldwyn-Mayer (MGM),0
374,"Universal Pictures, Renaissance Pictures, Dark Horse Entertainment, Largo Entertainment, Signature Pictures, JVC Entertainment Networks",101646581
375,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment",378882411
376,Touchstone Pictures,50021959
377,Columbia Pictures,0
378,"Tig Productions, Warner Bros., Kasdan Pictures, Paragon Entertainment Corp.",25052000
379,"Touchstone Pictures, Tool Shed Productions",0
380,"BBC Films, Majestic Films International, Little Bird",953
381,"Gramercy Pictures, PolyGram Filmed Entertainment",0
382,"Caravan Pictures, Hollywood Pictures",29392418
383,"Strand Releasing, Strand Home Video",0
384,,0
385,Eve Productions Inc.,0
386,,20851521
387,"Bolex Brothers, Lumen Films, Tara",0
388,"Universal Pictures, Capcom",99423521
389,"Propaganda Films, Motion Picture Corporation of America (MPCA), Polygram Filmed Entertainment, Snowback Productions",0
390,,0
391,"Live Entertainment, Capitol Films, Bates Entertainmant",0
392,"A-Pix Entertainment, Devin Entertainment",0
393,"Walt Disney Pictures, Theodore Thomas Productions",0
394,Overseas FilmGroup,0
395,"Skyline Entertainment Partners, Arrow",0
396,,0
397,"Home Box Office (HBO), Frozen Rope Productions Inc.",0
398,,0
399,,0
400,"Trans-Film, Initial Groupe, Lumière Pictures, Fallingcloud",36800000
401,,0
402,New Line Cinema,8946600
403,New Line Cinema,0
404,New Line Cinema,0
405,"Paramount Pictures, Orion Pictures, Scott Rudin Productions",48919043
406,HBO Independent Productions,0
407,Columbia Pictures,32255440
408,"Twentieth Century Fox Film Corporation, Island World, Robert Simonds Productions",0
409,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications, Nomura Babcock & Brown, NBB Unit One Film Partners, Longview Entertainment",21011500
410,Touchstone Pictures,0
411,"Twentieth Century Fox Film Corporation, Ruddy Morgan Organization, The",15240435
412,"Fine Line Features, Castle Rock Entertainment, Barcelona Films",0
413,"Warner Bros., Enigma Productions, BSB, NatWest Ventures, Fujisankei",0
414,Twentieth Century Fox Film Corporation,0
415,"Paramount Pictures, Eddie Murphy Productions",119208989
416,Warner Bros.,0
417,New Line Cinema,16668552
418,"Trilogy Entertainment Group, Metro-Goldwyn-Mayer (MGM)",30156002
419,Paramount Pictures,0
420,"Orion Pictures Corporation, Heathrow Productions",0
421,"Warner Bros., Dorset Productions, Robert H. Solo Productions",428868
422,Mainline Pictures,1796389
423,"HBO Films, Savoy Pictures",17287898
424,Touchstone Pictures,3662459
425,"Columbia Pictures, Parkway Productions",2570145
426,"Universal Pictures, Epic Productions, Bregman/Baer Productions",36516012
427,"Columbia Pictures, Castle Rock Entertainment",0
428,Metro-Goldwyn-Mayer (MGM),7355425
429,"TriStar Pictures, Canal+, Carolco Pictures, RCS Video, Cliffhanger Productions, Pioneer",255000211
430,Paramount Pictures,0
431,"Hollywood Pictures, Cinergi Pictures Entertainment",19726050
432,TriStar Pictures,0
433,"Imagine Entertainment, Universal Pictures",0
434,"Metro-Goldwyn-Mayer (MGM), Maverick Picture Company, Cecchi Gori Europa N.V., Eye Productions, Pentamerica",0
435,"Donner/Shuler-Donner Productions, Warner Bros., Northern Lights Entertainment",63000000
436,"Gramercy Pictures, Alphaville Productions, The Criterion Collection",7993039
437,"Silver Pictures, Warner Bros.",159055768
438,,0
439,Fine Line Features,0
440,Metro-Goldwyn-Mayer (MGM),0
441,"Beijing Film Studio, China Film Co-Production Corporation, Maverick Picture Company",0
442,"Orion Pictures, Nelson Entertainment",0
443,"Spring Creek Productions, Warner Bros.",0
444,,0
445,"Spring Creek Productions, Warner Bros.",0
446,"Paramount Pictures, Spring Creek Productions, Mirage",9488998
447,Fine Line Features,0
448,"Universal Studios, Imagine Entertainment",11146270
449,"Paramount Pictures, Mirage Enterprises, Davis Entertainment",270248367
450,"Canal Plus, Regency Enterprises, Alcor Films, Warner Bros., Donner/Shuler-Donner Productions",153698625
451,Miramax Films,0
452,Warner Bros.,368875760
453,Columbia Pictures,18635620
454,"Universal Pictures, Largo Entertainment",30
455,Metro-Goldwyn-Mayer (MGM),0
456,"Killer Films, The Samuel Goldwyn Company, Can I Watch, Islet, KPVI",0
457,Gramercy Pictures,0
458,Hollywood Pictures,22886222
459,"Universal Pictures, Renaissance Pictures, Alphaville Films",74189677
460,"Regency Enterprises, Warner Bros.",0
461,"Twentieth Century Fox Film Corporation, Sidley Wright & Associates",133752825
462,"Spelling Entertainment, IRS Media, Republic Pictures (II)",0
463,"Miramax Films, Parallax Pictures",0
464,"Det Danske Filminstitut, Spring Creek Productions, Eurimages, Costa do Castelo Filmes, Neue Constantin Film, House of Spirits Film",0
465,,0
466,"PolyGram Filmed Entertainment, Silver Pictures, Warner Bros., Working Title Films, PolyGram Filmproduktion",0
467,"Gracie Films, Columbia Pictures Corporation",0
468,Hollywood Pictures,28881266
469,"Castle Rock Entertainment, Columbia Pictures Corporation",176997168
470,"Universal Pictures, Hell's Kitchen Films",65796862
471,Touchstone Pictures,8880705
472,Touchstone Pictures,0
473,"Paramount Pictures, Baltimore Pictures",0
474,"Universal Pictures, Largo Entertainment, JVC Entertainment Networks",12136938
475,"Universal Pictures, Amblin Entertainment",920100000
476,"Propaganda Films, Kouf/Bigelow Productions",2395231
477,Live Entertainment,418961
478,Gramercy Pictures,0
479,Paramount Pictures,0
480,"Columbia Pictures Corporation, Oak Productions",137298489
481,Touchstone Pictures,0
482,Savoy Pictures,0
483,"Geffen Pictures, Warner Bros.",1499795
484,"Regency Enterprises, Warner Bros.",0
485,"Columbia Pictures, New Line Cinema, Castle Rock Entertainment, Nelvana Limited",46405336
486,"Icon Entertainment International, Warner Bros.",24760338
487,TriStar Pictures,11285588
488,New Line Cinema,27900000
489,"Silver Pictures, Warner Bros.",121969216
490,"Argos Films, Oshima Productions, Shibata Organisation",0
491,"The Samuel Goldwyn Company, Good Machine",0
492,"Renaissance Films, American Playhouse Theatrical Films",0
493,"TriStar Pictures, Rastar Films",0
494,"Warner Bros., The Samuel Goldwyn Company, Night Life Inc.",0
495,"Twentieth Century Fox Film Corporation, Blue Wolf",441286195
496,"Thin Man Films, The Criterion Collection",0
497,Columbia Pictures Corporation,15826984
498,"Regency Enterprises, Alcor Films, Ixtlan, Warner Bros., New Regency Pictures",0
499,"Columbia Pictures Corporation, Pacific Western, Allied Filmmakers, Platinum Pictures",15340000
500,"Columbia Pictures, New Line Cinema, Castle Rock Entertainment",0
501,"Mikado Film, Lenfilm Studio, Adventure Pictures",0
502,"Malpaso Productions, Warner Bros.",135130999
503,"TriStar Pictures, Clinica Estetico",206678440
504,"New South Wales Film & Television Office, The Australian Film Commission, CiBy 2000, Jan Chapman Productions",116700000
505,Columbia Pictures,27515786
506,Touchstone Pictures,23042200
507,Hollywood Pictures,8638072
508,Universal Pictures,0
509,"Touchstone Pictures, Don Simpson/Jerry Bruckheimer Films",11439193
510,"Columbia Pictures, Merchant Ivory Productions",23237911
511,"Cinergi Pictures Entertainment, Touchstone Pictures",24332324
512,"Twentieth Century Fox Film Corporation, Walrus & Associates",107198790
513,"Columbia Pictures, Beacon Pictures",0
514,Orion Pictures,10696210
515,"Gaumont, Twentieth Century Fox Film Corporation, Brooksfilms",35739755
516,"Working Title Films, Polygram Filmed Entertainment, Hilary Henkin",3275585
517,"The Australian Film Commission, Film Victoria, Seon Film Productions, Romper Stomper Pty. Ltd.",0
518,"Ruby in Paradise, Full Crew/Say Yea",1001437
519,TriStar Pictures,22750363
520,"David V. Picker Productions, Nessa Hyams, Carrie Productions Inc.",0
521,"Société Nouvelle de Cinématographie, La Sept Cinéma",0
522,"Universal Pictures, Amblin Entertainment",321365567
523,"Twentieth Century Fox Film Corporation, Santo Domingo Film & Music Video",0
524,Mirage Enterprises,7266383
525,"Regency Enterprises, Alcor Films, Warner Bros., Fron Film Production",0
526,"American Zoetrope, Warner Bros.",0
